condition,euclidean_distance,cosine_similarity,pearson_r,pearson_p,spearman_r,spearman_p
MCF7_WT,2.6588121842367074,0.49505125802249905,0.4950512653405171,0.25865370035094104,0.39285714285714296,0.38331687042697266
MCF7_D538G,2.796510271942069,0.44139501199064,0.4413950155191717,0.3214750804275566,0.21428571428571433,0.6445115810207203
T47D_D538G,3.0370698247696817,0.34115762830122764,0.34115763355438733,0.4539401610640398,0.21428571428571433,0.6445115810207203
T47D_WT,3.3826739305315194,0.18267979085814812,0.18267978913473193,0.695021912067895,0.21428571428571433,0.6445115810207203
