gene,MCF7_WT_TPM,MCF7_D538G_TPM,MCF7_FC,MCF7_direction,T47D_WT_TPM,T47D_D538G_TPM,T47D_FC,T47D_direction,opposite_regulation
HSP90B1,375.325,589.7,1.571171651235596,UP,1063.65,728.1250000000001,0.6845531894890237,DOWN,True
HSPA5,60.50999999999999,96.485,1.5945298297802017,UP,266.825,205.92499999999998,0.7717605171929167,DOWN,True
CALR,683.45,894.25,1.3084351452191088,UP,1256.25,1217.75,0.9693532338308458,NC,False
CANX,382.22499999999997,577.3,1.510366930472889,UP,458.22499999999997,447.4,0.9763762343826723,NC,False
PDIA4,128.475,209.925,1.6339754816112086,UP,155.35,134.2,0.863855809462504,DOWN,True
PDIA6,112.10000000000001,176.52500000000003,1.5747100802854597,UP,89.35,94.3325,1.0557638500279798,NC,False
SEC61A1,105.3075,114.6,1.0882415782351684,NC,149.75,128.05,0.8550918196994992,DOWN,False
