gene,D538G+_mean,D538G-_mean,fold_change,direction,p_value
XBP1,79.20901639344262,12.669865642994242,6.25176451158667,UP in D538G+,1.2661231492201064e-121
MDK,11.913934426229508,3.0620601407549586,3.8908231316750355,UP in D538G+,8.814210649618788e-43
ATF6,3.0204918032786887,0.6705054382597568,4.504798366912778,UP in D538G+,7.768959386033241e-13
