gene,MCF7_WT_TPM,MCF7_D538G_TPM,MCF7_FC,MCF7_log2FC,MCF7_pval,MCF7_cohens_d,T47D_WT_TPM,T47D_D538G_TPM,T47D_FC,T47D_log2FC,T47D_pval,T47D_cohens_d
ATF4,54.5475,54.545,0.9999541683853522,-6.612255843165996e-05,0.998708850134562,-0.0011930450625982174,54.845,53.6825,0.9788039019053697,-0.030908242296881723,0.5845898843491106,-0.4234222321746201
ATF6,10.2265,12.307500000000001,1.2034909304258545,0.26722526962383836,0.004839580661246238,3.1817600603443466,29.52,23.8425,0.8076727642276423,-0.3081572042012637,0.0031801998785403666,-3.3546869395478645
CALR,683.45,894.25,1.3084351452191088,0.38784241656049795,0.001288883082861675,4.07997282857528,1256.25,1217.75,0.9693532338308458,-0.04490561311320505,0.30484609995678297,-0.7940395088568372
CANX,382.22499999999997,577.3,1.510366930472889,0.5948990823090409,9.228975445198721e-05,6.767058112613139,458.22499999999997,447.4,0.9763762343826723,-0.03449091545401552,0.5536310172140245,-0.4445327502829454
DDIT3,17.572499999999998,19.5475,1.1123915208422253,0.15366465295662754,0.035481372368574425,2.4280085215402964,58.39000000000001,39.185,0.6710909402294913,-0.5754198141128046,0.0005546492838261252,-5.328958468669172
DERL1,70.65,76.845,1.0876857749469213,0.12126183195441802,0.15342077937233178,1.1691700720110807,66.475,61.525,0.9255359157578037,-0.11163911939950781,0.06395072337095291,-1.6458752408807151
EDEM1,14.37,12.327499999999999,0.8578636047320807,-0.2211798089562175,0.00017982556909737902,-5.988924938893201,13.934999999999999,14.4575,1.0374955148905634,0.053105099679679586,0.48250538451327,0.5386991571051275
EDEM2,9.82275,11.8525,1.2066376523885878,0.2709925065942135,0.03145217627602017,1.987099935807002,18.935,18.1575,0.9589384737259045,-0.060489841164326597,0.3870392487116907,-0.6594283482308786
EDEM3,21.1175,19.07,0.9030425002959631,-0.14713420737685148,0.06378397607677,-1.9766738261156935,36.925,31.86,0.8628300609343263,-0.21285165412684176,0.01141372863473601,-2.875204471692415
ERN1,1.3955000000000002,1.524,1.0920816911501252,0.12708077842725446,0.277080248904057,0.9220575243316547,3.4975,1.888,0.5398141529664046,-0.8894652926902744,0.002450834738486145,-4.128346031804982
ERO1A,15.330000000000002,21.8875,1.4277560339204172,0.5137494816621423,0.00023534135426418753,5.619541758763984,59.83,39.875,0.6664716697309042,-0.5853845441153616,0.0020743520166385757,-6.185270565850141
HERPUD1,34.802499999999995,21.8875,0.6289059693987502,-0.669083765577701,0.0005117911957291827,-7.365633488263352,47.15,35.2575,0.7477730646871686,-0.4193275896475662,0.0014859828174381457,-4.228705622937999
HSP90B1,375.325,589.7,1.571171651235596,0.6518408043485003,9.983953304776784e-06,9.899854488043612,1063.65,728.1250000000001,0.6845531894890237,-0.5467654522635311,0.00026607330242382445,-7.547629654642282
IGF1,0.015265500000000001,0.00419,0.27447512364482,-1.8652526947299606,0.12046797238533467,-1.2798544209636504,0.07146,0.008115,0.11356003358522251,-3.1384729140372984,0.03845992044614954,-2.3120066990978807
IGF2,0.04865,1.0416500000000002,21.411099691675236,4.420286990516585,5.421494684758059e-05,16.70837217459146,0.21647499999999997,0.07405500000000001,0.34209493013050013,-1.547531371459083,0.004096533203818184,-3.9994160722710514
ITGA4,0.11466,0.13674999999999998,1.1926565497994068,0.25417864886866837,0.31811845428454955,0.7769987103856668,0.017925,0.0,0.0,-inf,0.26124927542183674,-0.9763156612832292
ITGAL,0.088895,0.0730325,0.8215591428089318,-0.28356365852410537,0.5958446952455354,-0.40053588607886775,1.52975,1.01635,0.664389606144795,-0.5898985912448895,0.006525096209399623,-2.9243473444085186
LRP1,1.07015,1.25475,1.1724991823576134,0.22958691667751527,0.03929984680868198,1.9295472689399418,3.0082500000000003,1.05345,0.35018698578908,-1.5138026258687025,3.136704636690081e-05,-10.071482330281976
LRPAP1,13.815000000000001,15.572500000000002,1.127216793340572,0.1727650102739288,0.021608942116390976,2.1850781178060807,19.3575,22.24,1.1489086917215547,0.2002641459083811,0.021699453734642285,2.5769368666100294
MDK,158.875,116.7,0.7345397324940992,-0.445087564184973,0.0007813895316097421,-5.901945502249005,22.4825,31.325000000000003,1.3933059045924607,0.47851204084485766,0.0022401853857771064,3.9273132145770826
OS9,173.72499999999997,162.6,0.9359620089221472,-0.09547812346754142,0.0992456311359649,-1.3792367426224,311.85,253.57500000000002,0.8131313131313131,-0.2984397419649926,0.010121875830595161,-3.7588463407335455
PDIA4,128.475,209.925,1.6339754816112086,0.7083863354889162,6.283447269076172e-05,7.323610807051039,155.35,134.2,0.863855809462504,-0.2111375699216573,0.0337543351507366,-2.2559438527628224
PDIA6,112.10000000000001,176.52500000000003,1.5747100802854597,0.6550862386217657,5.818020093713937e-05,7.07691123391647,89.35,94.3325,1.0557638500279798,0.07828717324446662,0.16538275293141355,1.1250251684084367
SEC61A1,105.3075,114.6,1.0882415782351684,0.1219988553333746,0.051486572708564764,1.7207513350341006,149.75,128.05,0.8550918196994992,-0.2258487500786795,0.01873624109804287,-3.0652693664113406
SEL1L,26.2975,24.002499999999998,0.9127293468960928,-0.1317409759466707,0.05786545299055129,-1.6740716487104097,160.6,99.80250000000001,0.6214352428393525,-0.6863240329773644,0.00029178060281057945,-9.269999981076413
SRP54,90.4075,101.8725,1.126814700107845,0.17225028994223016,0.06264547875020796,1.6893464824568867,134.64999999999998,119.025,0.8839584106943931,-0.1779496009453334,0.04490026120179481,-2.146402247458685
