gene,interaction_pvalue,interaction_eta_sq,cell_line_pvalue,cell_line_eta_sq,genotype_pvalue,genotype_eta_sq,interaction_FDR,significant_FDR
HSP90B1,2.2591223461245144e-09,0.2978468037785646,1.959388165426874e-11,0.6732462015644359,0.004674763192551323,0.014456805615543423,1.5813856422871603e-08,True
HSPA5,0.00332892771121977,0.0794227402865968,5.3302857272985975e-08,0.8437657817695762,0.3662426798749016,0.0052576511899797744,0.00332892771121977,True
CALR,0.0003220823842221281,0.06716692936131932,5.106525171089235e-10,0.8681958991535679,0.004903580602307407,0.03208348172892884,0.0004109926094236479,True
CANX,5.429729124942666e-06,0.48290028969875826,0.06628590138423938,0.03309194570363069,1.6392505626599426e-05,0.3866871726978255,9.502025968649667e-06,True
PDIA4,3.6787611795211493e-07,0.5907711164310602,0.0004726095456532871,0.1339225371804392,7.685861557279279e-05,0.2040605987733927,1.2875664128324022e-06,True
PDIA6,2.5621632113571085e-06,0.17685913631852074,5.0507852155156305e-09,0.5512342309974133,4.995278145802411e-07,0.24112718187233126,5.9783808264999205e-06,True
SEC61A1,0.00035227937950598387,0.19437343096658358,8.798158790722408e-07,0.6782164035310744,0.07227018280304041,0.03115245294004087,0.0004109926094236479,True
