module,n_genes,MCF7_mean_log2FC,MCF7_sem_log2FC,T47D_mean_log2FC,T47D_sem_log2FC
Secretory,8,0.4757566880333085,0.07994521294711406,-0.2185244090809146,0.08411216958180394
UPR,5,0.17873264764493785,0.05957933914139918,-0.3442503965229034,0.17782997882527785
ERAD,8,-0.1750451726927922,0.10909624432346873,-0.2747681500113702,0.08554649813871246
