JSD,RMSE_Value,Sum_RMSE,CellType,MAE_Value,Sum_MAE,corr,Replicate,Method
0.16108938338085352,0.05737659458629291,0.08589127486437202,'B-cells',0.01931895660179428,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'CAFs',0.02488765703313059,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'Cancer Epithelial',0.06297047271914152,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'Endothelial',0.03398564220285635,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'Myeloid',0.03840864748933992,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'Normal Epithelial',0.022555832398603398,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'PVL',0.06640247456308508,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'Plasmablasts',0.008862745048051847,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.05737659458629291,0.08589127486437202,'T-cells',0.030859500101411846,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'B-cells',0.01931895660179428,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'CAFs',0.02488765703313059,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'Cancer Epithelial',0.06297047271914152,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'Endothelial',0.03398564220285635,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'Myeloid',0.03840864748933992,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'Normal Epithelial',0.022555832398603398,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'PVL',0.06640247456308508,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'Plasmablasts',0.008862745048051847,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.06467948985627064,0.08589127486437202,'T-cells',0.030859500101411846,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'B-cells',0.01931895660179428,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'CAFs',0.02488765703313059,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'Cancer Epithelial',0.06297047271914152,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'Endothelial',0.03398564220285635,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'Myeloid',0.03840864748933992,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'Normal Epithelial',0.022555832398603398,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'PVL',0.06640247456308508,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'Plasmablasts',0.008862745048051847,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.1197024473445057,0.08589127486437202,'T-cells',0.030859500101411846,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'B-cells',0.01931895660179428,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'CAFs',0.02488765703313059,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'Cancer Epithelial',0.06297047271914152,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'Endothelial',0.03398564220285635,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'Myeloid',0.03840864748933992,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'Normal Epithelial',0.022555832398603398,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'PVL',0.06640247456308508,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'Plasmablasts',0.008862745048051847,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08375437019554932,0.08589127486437202,'T-cells',0.030859500101411846,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08703096176739451,0.08589127486437202,'B-cells',0.01931895660179428,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08703096176739451,0.08589127486437202,'CAFs',0.02488765703313059,0.03425021423971276,0.9495437949115432,0,CITEgeist
0.16108938338085352,0.08703096176739451,0.08589127486437202,'Cancer Epithelial',0.06297047271914152,0.03425021423971276,0.9495437949115432,0,CITEgeist
