cell_type,gene,score,pval_adj
CD8+ T cells,CCL4,39.843605041503906,0.0
CD8+ T cells,S100A4,39.199729919433594,0.0
CD8+ T cells,CXCR4,37.5535888671875,1.8194090182284017e-305
CD8+ T cells,TRBC2,36.43743133544922,1.4188809705608087e-287
CD8+ T cells,CD3E,35.4107666015625,1.1749415216749702e-271
CD8+ T cells,CMC1,35.36383056640625,5.923653156719882e-271
CD8+ T cells,CD7,35.28233337402344,9.718561582695399e-270
CD8+ T cells,CTSW,34.41209030151367,1.3652946015581235e-256
CD8+ T cells,FGFBP2,33.97280502319336,4.4485061578852436e-250
CD8+ T cells,PTPRC,33.258548736572266,1.1349347264476194e-239
CD8+ T cells,CORO1A,32.69076919555664,1.5107168520940853e-231
CD8+ T cells,TRBC1,32.56296920776367,9.50628513055427e-230
CD8+ T cells,RAC2,32.42665481567383,7.76530587434555e-228
CD8+ T cells,PRF1,30.5833683013916,1.10134270319977e-202
CD8+ T cells,SH3BGRL3,30.532073974609375,5.1633503064422245e-202
CD8+ T cells,CD48,30.219331741333008,6.502887356948789e-198
CD8+ T cells,CD2,29.648157119750977,1.6897004072398212e-190
CD8+ T cells,SRGN,28.881290435791016,8.580038789468553e-181
CD8+ T cells,GZMM,28.864816665649414,1.3557408314423575e-180
CD8+ T cells,DUSP2,26.340328216552734,2.0979449054668643e-150
CD8+ T cells,ISG20,26.31745719909668,3.7803429197412194e-150
CD8+ T cells,HOPX,25.91619873046875,1.2760330239129946e-145
CD8+ T cells,IL2RG,25.66454315185547,8.062897275173539e-143
CD8+ T cells,CD3G,25.562532424926758,1.090359161565159e-141
CD8+ T cells,PLAC8,25.550857543945312,1.4522169335218697e-141
CD8+ T cells,PPP2R5C,25.050596237182617,4.382595939169679e-136
CD8+ T cells,CD53,25.02051544189453,9.108596765916453e-136
CD8+ T cells,CYTIP,24.224916458129883,2.668425248090462e-127
CD8+ T cells,TRAC,24.21698760986328,3.2027488818596152e-127
CD8+ T cells,LSP1,23.981908798217773,8.899389418202245e-125
CD8+ T cells,ITGB2,23.90017318725586,6.146961278317484e-124
CD8+ T cells,CD37,23.812286376953125,4.931675518177113e-123
CD8+ T cells,CD69,23.379783630371094,1.2574089850893888e-118
CD8+ T cells,CD247,23.30288314819336,7.470380863869993e-118
CD8+ T cells,ARHGDIB,23.016084671020508,5.486230096918546e-115
CD8+ T cells,PTPN7,22.890230178833008,9.689737702487467e-114
CD8+ T cells,RUNX3,22.256853103637695,1.4599985792404028e-107
CD8+ T cells,ARL4C,22.056154251098633,1.1848526632289728e-105
CD4+ T cells,IL7R,47.716453552246094,0.0
CD4+ T cells,CD52,39.97196960449219,0.0
CD4+ T cells,CD3D,36.98520278930664,1.4635181759659139e-295
CD4+ T cells,TRAC,35.889591217041016,2.4604729938717288e-278
CD4+ T cells,CD3E,34.18021011352539,2.1100821709660333e-252
CD4+ T cells,CXCR4,33.82667922973633,2.9540778423127145e-247
CD4+ T cells,LTB,29.027462005615234,4.379405792208417e-182
CD4+ T cells,TRBC2,28.461822509765625,3.856764727133403e-175
CD4+ T cells,CD2,27.169666290283203,1.217761175779625e-159
CD4+ T cells,S100A4,25.91090202331543,3.2725878733203096e-145
CD4+ T cells,CD48,25.585046768188477,1.3782605184761713e-141
CD4+ T cells,CD3G,22.751394271850586,4.531908147039037e-112
CD4+ T cells,CD69,21.996326446533203,8.990505894536984e-105
CD4+ T cells,HCST,21.568845748901367,9.190493155535902e-101
CD4+ T cells,PTPRC,21.12630271911621,1.086686904960116e-96
CD4+ T cells,KLRB1,21.055587768554688,4.7932909126045445e-96
CD4+ T cells,CYTIP,20.66971778869629,1.4104199542554349e-92
CD4+ T cells,CORO1A,19.813385009765625,4.25143485729751e-85
CD4+ T cells,CD37,18.955421447753906,5.966982854892405e-78
CD4+ T cells,TRBC1,18.59430694580078,4.919852076649954e-75
CD4+ T cells,CD7,18.1497802734375,1.6713175932547271e-71
CD4+ T cells,RAC2,18.086257934570312,5.2401390243387925e-71
CD4+ T cells,SRGN,17.499969482421875,1.6638083577812388e-66
CD4+ T cells,CCL5,17.33382225036621,2.926376471835442e-65
CD4+ T cells,ACAP1,17.223329544067383,1.9672521038293437e-64
CD4+ T cells,STK4,16.831878662109375,1.4762972106175682e-61
CD4+ T cells,ISG20,16.268198013305664,1.5459832922004962e-57
CD4+ T cells,FXYD5,16.243846893310547,2.2621679603834542e-57
CD4+ T cells,LAPTM5,16.216772079467773,3.501806371433139e-57
CD4+ T cells,IL2RG,16.053871154785156,4.781683464976201e-56
CD4+ T cells,CD44,15.930929183959961,3.3476198653218866e-55
CD4+ T cells,TUBA4A,15.333020210266113,3.529319811320728e-51
CD4+ T cells,RPS4Y1,15.305604934692383,5.343894336675262e-51
CD4+ T cells,ARHGDIB,15.263068199157715,1.0196149341101547e-50
CD4+ T cells,CD53,14.808001518249512,8.789813888254546e-48
CD4+ T cells,LCK,14.379703521728516,4.395247506951475e-45
CD4+ T cells,RGS1,13.980640411376953,1.148512929786312e-42
CD4+ T cells,GPSM3,13.892607688903809,3.853837653100526e-42
CD4+ T cells,MALAT1,13.879707336425781,4.5914083264298215e-42
CD4+ T cells,EVL,13.658731460571289,9.275595846384857e-41
CD4+ T cells,RHOH,12.965649604797363,8.70404304115382e-37
CD4+ T cells,CD27,12.704751968383789,2.4427824384957723e-35
CD4+ T cells,IL32,12.39123821258545,1.203432462196367e-33
CD4+ T cells,FYB,12.211130142211914,1.090736142027178e-32
CD4+ T cells,STK17B,12.00445556640625,1.3025627658620853e-31
CD4+ T cells,GMFG,11.91533374786377,3.744453087988826e-31
CD4+ T cells,PPP2R5C,11.763707160949707,2.1819798656972652e-30
CD4+ T cells,SPOCK2,11.750463485717773,2.539947508041956e-30
CD4+ T cells,HSP90AA1,11.644796371459961,8.679107541185645e-30
CD4+ T cells,CLEC2D,11.505237579345703,4.2936345628824773e-29
B cells,MT1G,83.74199676513672,0.0
B cells,ALDOB,82.60709381103516,0.0
B cells,HPD,81.8637924194336,0.0
B cells,SUCLG1,80.53778076171875,0.0
B cells,MT1H,79.08086395263672,0.0
B cells,MIOX,79.00007629394531,0.0
B cells,GPX3,75.9701919555664,0.0
B cells,FABP1,74.67585754394531,0.0
B cells,GATM,72.01274108886719,0.0
B cells,MT1F,70.66133880615234,0.0
B cells,ASS1,70.57188415527344,0.0
B cells,GSTA1,68.70968627929688,0.0
B cells,FXYD2,66.56902313232422,0.0
B cells,ALB,65.59957885742188,0.0
B cells,DCXR,64.72966766357422,0.0
B cells,PDZK1IP1,63.9979248046875,0.0
B cells,PCSK1N,62.794456481933594,0.0
B cells,MT1X,62.159996032714844,0.0
B cells,PRAP1,62.13565444946289,0.0
B cells,RBP5,60.922019958496094,0.0
B cells,SMIM24,58.14262390136719,0.0
B cells,APOE,56.53348922729492,0.0
B cells,ECHS1,54.156314849853516,0.0
B cells,GSTA2,52.24665451049805,0.0
B cells,MT-ND4L,51.36792755126953,0.0
B cells,GLYAT,50.378116607666016,0.0
