marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD20,CD45RA,0.9137857789683177,0.5954568193187503,26187,0.18626237623762376,0.8319340784955941,0.7343940561276149,0.0,2.693379659878772,2.6763822599741993,0.005,2.6848809599264856
CD16,CD68,0.8378930986359509,0.5504261363636364,24800,0.17639695003983158,0.6419033988923953,0.6776314466882557,0.0,1.8648304987435114,1.873043715686383,0.005,1.8689371072149472
CD68,CD163,0.8159538342853998,0.6103947125161767,26413,0.18786986457266416,0.6146357872905328,0.7616741802483511,0.0,1.6176550254074122,1.6081812377963802,0.005,1.6129181316018961
CD45RO,CD45,0.8008713967467815,0.462729708631348,21932,0.15599749630135426,0.6275866623092228,0.6544860708703629,0.0,1.3934655369821782,1.386842727977695,0.005,1.3901541324799367
CD16,CD163,0.7931154247578422,0.5180187087869959,23646,0.16818880163878458,0.5536752993406245,0.6594807425177707,0.0,1.7168449892342266,1.711074698492881,0.005,1.7139598438635537
CD68,HLA-DR,0.7815641720903468,0.44370560988162633,21553,0.15330175258905201,0.570150397407122,0.5564185578834105,0.0,1.4646804645203577,1.45816247255052,0.005,1.461421468535439
CD3E,CD8A,0.7543858876345011,0.3951399789385841,19887,0.1414518607033117,0.4085279736485707,0.6189541834403718,0.0,1.5152654821365408,1.521485777544102,0.005,1.5183756298403215
CD3E,CD45RO,0.752668948047115,0.4022557149486512,19937,0.14180749971548878,0.4107043648683755,0.5772273196973814,0.0,1.447142347877072,1.453080862830462,0.005,1.4501116053537668
CD45RA,CD45,0.752300796737545,0.28120198990416273,15375,0.10935899624445203,0.40669907138658695,0.4559254503158928,0.0,1.6305747597456504,1.6266859265761056,0.005,1.628630343160878
CD8A,CD45RO,0.7519288842819132,0.41596638655462187,20394,0.1450580402867873,0.45933284653694934,0.5422932729711539,0.0,1.4303819442226615,1.4300318428509677,0.005,1.4302068935368146
PTEN,Vimentin,0.7513625168804356,0.3165483834628816,16860,0.1199214749061113,0.37075244838173016,0.44041250165000617,0.0,1.3817457912490823,1.3699808990964646,0.005,1.3758633451727733
CD4,CD3E,0.7454553330329869,0.3486872586872587,18062,0.1284710367588483,0.3969960851786306,0.4563491715893947,0.0,1.6860895477856401,1.679544640273654,0.005,1.6828170940296472
PD-1,CD8A,0.7427245635491144,0.3646102219927723,14125,0.10046802094002504,0.5659751410087631,0.46735812397731646,0.0,1.4203798835242327,1.4156641069696454,0.005,1.418021995246939
CD3E,CD45,0.738316513643116,0.38506360116931343,19495,0.1386636508478434,0.40215576604207665,0.5093486981216151,0.0,1.356610722743851,1.3530958316464132,0.005,1.354853277195132
CD4,CD45RO,0.7381602667829564,0.3772008534226636,18917,0.13455246386707637,0.43390624634948244,0.4910353588453331,0.0,1.493350264913787,1.4889804574452352,0.005,1.4911653611795113
CD16,HLA-DR,0.7363057388104517,0.37831801561419115,19141,0.1361457266416297,0.4092688006602129,0.46909027663850467,0.0,1.5489850046982339,1.5496403056642822,0.005,1.5493126551812582
LAG-3,PD-1,0.7362353210392766,0.39827569751535014,12519,0.08904489586889723,0.47038146884922527,0.5579927695546509,0.0,1.5633274853360943,1.5559778043532295,0.005,1.559652644844662
E-Cadherin,CD45,0.7360743148424345,0.2934332844710816,15814,0.1124815067713668,0.3967721389851829,0.49404228615860457,0.0,1.23390574738278,1.2160590625379748,0.005,1.2249824049603775
CD8A,CD45,0.7249709920425464,0.32953078733581354,17361,0.12348497780812565,0.461653780580659,0.47227947001380843,0.0,1.2829461182225073,1.2767565429825614,0.005,1.2798513306025343
CD4,CD45,0.7140703530925143,0.3172608021774468,16785,0.11938801638784569,0.3908247548474768,0.4321576407393566,0.0,1.4280686109700753,1.4160032305932808,0.005,1.4220359207816782
PD-1,CD45RO,0.7129378914853184,0.3913449481070409,14668,0.10433026061226812,0.44679338540960123,0.510694416999201,0.0,1.4171594890715142,1.4149977593375487,0.005,1.4160786242045313
HLA-DR,E-Cadherin,0.7085600899158804,0.28854930800643025,15616,0.11107317628314556,0.2525783514664154,0.3680897367609565,0.0,1.3969645641356976,1.391359652144182,0.005,1.3941621081399398
CD163,HLA-DR,0.7069182826879756,0.3695245595038882,18770,0.13350688517127574,0.3772579091568341,0.45378448370008795,0.0,1.3112603227650816,1.3104933135717458,0.005,1.3108768181684138
CD45RO,E-Cadherin,0.7054168972945849,0.2802816901408451,15124,0.1075736884033231,0.286561362839421,0.413798997293207,0.0,1.3318944760756621,1.351384580090807,0.005,1.3416395280832347
CD20,CD45,0.696493537696389,0.25050865607710154,14036,0.09983498349834984,0.3130163364567863,0.3427211527968874,0.0,1.5512713511224698,1.5406026328325255,0.005,1.5459369919774977
CD16,E-Cadherin,0.6904552644161898,0.30464098566947767,16220,0.11536929555024468,0.287491610058466,0.373378464911015,0.0,1.4925202886966538,1.48736876385944,0.005,1.4899445262780469
HLA-DR,CD45,0.6885377376551696,0.1848967152048764,10920,0.07767156025947422,0.19234177270308855,0.387562803309959,0.0,1.2158611777527346,1.1893037606576502,0.005,1.2025824692051925
LAG-3,CD8A,0.682007347727038,0.37288097587227553,16629,0.1182784226698532,0.35394843143919913,0.45475875332842536,0.0,1.3105768392952244,1.2967413888363426,0.005,1.3036591140657836
CD68,E-Cadherin,0.6815053748490546,0.2787866583678102,15229,0.10832053032889497,0.2249378007119528,0.3487904983909248,0.0,1.4081501055023213,1.3974472611437938,0.005,1.4027986833230575
E-Cadherin,Vimentin,0.6735862725818652,0.21935551443633697,12566,0.0893791965403437,0.21370222053205395,0.3013051240105125,0.0,1.1770215622590465,1.2051064421058715,0.005,1.191064002182459
CD163,E-Cadherin,0.6615744367432568,0.26327687735866256,14441,0.10271565949698418,0.20289461924111468,0.2946467409977644,0.0,1.354370738868771,1.3475929897820764,0.005,1.3509818643254237
CD4,E-Cadherin,0.6568196723689593,0.2752915251124782,14991,0.10662768863093205,0.27226175848966794,0.3122735538047041,0.0,1.2476448766230652,1.256133896114709,0.005,1.2518893863688871
PD-1,CD45,0.6562731985580648,0.25346191301869314,10671,0.07590047797883237,0.3480684009486926,0.35431209488125676,0.0,1.246393038969457,1.2384271823576625,0.005,1.2424101106635597
PanCK,PTEN,0.652317927925486,0.20583945477207033,7762,0.05520940025036986,0.2495156623193444,0.29857867522944825,0.0,2.2274630385099923,2.1340830000027013,0.005,2.180773019256347
LAG-3,CD45RO,0.6454989015301789,0.3306577529523014,15036,0.10694776374189142,0.2646739350630944,0.417484580609913,0.0,1.272082144083565,1.2611294072956376,0.005,1.2666057756896012
CD16,PD-L1,0.6450310676944151,0.17284937639910458,6486,0.04613349265961079,0.2330095809304654,0.3010638889782428,0.0,1.9987663093128805,1.9934726428116953,0.005,1.996119476062288
CD8A,E-Cadherin,0.6419730852184423,0.207069484315014,11974,0.08516843063616707,0.14700132237228833,0.2473131812336877,0.0,1.224715806198751,1.241106913124314,0.005,1.2329113596615326
PCNA,PTEN,0.6391981819495052,0.22427078568664016,12748,0.09067372254466825,0.08061127705268309,0.2455087687990288,2.469483523660812e-201,1.3610596933841606,1.3731681179301172,0.005,1.3671139056571389
PCNA,Vimentin,0.6380863796993641,0.21238999617377996,12212,0.08686127233412996,0.0912765295329044,0.19940539540667301,9.006690662997171e-258,1.3223684631897294,1.3258713033755511,0.005,1.3241198832826404
PCNA,E-Cadherin,0.6377811137105945,0.1817856351330617,10663,0.07584357573688404,0.040084894573126695,0.2577529456675343,4.266816619053187e-51,1.3778433245253778,1.3541326037741086,0.005,1.3659879641497432
VISTA,E-Cadherin,0.6361189537183904,0.24552614031609868,13624,0.0969045180380107,0.1970452185323463,0.29837852187273806,0.0,1.1537027895865872,1.1554452940549902,0.005,1.1545740418207888
CD3E,E-Cadherin,0.6310887204647556,0.22266937290033595,12726,0.09051724137931035,0.15033525539158063,0.23166256572932975,0.0,1.1614085676431236,1.177440810942622,0.005,1.1694246892928728
PD-L1,CD163,0.6301799192471313,0.15715982578857068,5954,0.04234949357004666,0.22821096905390312,0.26335095213693854,0.0,1.6372302565160617,1.6424916548980673,0.005,1.6398609557070645
