mode,region_id,jsd,rmse,mae,pearson,spearman,n_discovered_profiles,n_selected_profiles,n_matched_celltypes,modularity,variance_explained
autodiscovery,0,0.5006461222639794,0.2209804414919066,0.1387760872661493,0.33382261237156297,0.24069240895433386,22,14,8,0.45170815232302064,0.6187721275787197
autodiscovery,1,0.4594099452249911,0.2616761868611441,0.16628271929232122,0.26508442286175565,0.23090060051249742,19,10,6,0.5239488611852963,0.30193495776287144
autodiscovery,2,0.5345299486611982,0.22061657519250275,0.1321182712650624,0.3969464819368613,0.22505410749905305,23,15,9,0.3546058963219636,0.5754956595428264
autodiscovery,3,0.45839607014664635,0.19426589141666006,0.12369502325812,0.41352940490137824,0.2837933651252675,21,13,8,0.5540524806467159,0.5462562462596667
autodiscovery,4,0.47195952067081637,0.2167544593476955,0.1459095895602027,0.33035784891583014,0.2677118070713985,23,13,7,0.4044537836663611,0.5787878442818994
