program_id,mean_activity_a,mean_activity_b,fold_change,pvalue,n_spots_a,n_spots_b,top_genes,gene_loadings
3,2.054651926142946,0.0941764718172038,21.816819739342524,1.2598821326393854e-107,122,3248,"MGP, KRT15, MT-CO3, EGR1, FOS, LTF, PTN, KRT14, JUN, CCL28","{'MGP': 144.9674564448225, 'KRT15': 20.605971706933286, 'MT-CO3': 16.360670068142767, 'EGR1': 14.813567351697335, 'FOS': 14.482889808317868, 'LTF': 14.314123684220514, 'PTN': 13.237900182660256, 'KRT14': 13.049043339111126, 'JUN': 12.26308958039969, 'CCL28': 10.753237810716607, 'TAGLN': 10.081474688143013, 'AZGP1': 9.795038508593922, 'LMNA': 9.475352277710561, 'APP': 9.174476223689958, 'TPM1': 8.813327275307836, 'VIM': 8.248306037122289, 'TMSB4X': 8.047866197072171, 'MT-CYB': 8.004744151376347, 'SCGB2A2': 7.9537822698446465, 'NR4A1': 7.822120908559002, 'ATF3': 7.190642353535651, 'S100A6': 7.0438367352514355, 'STAC2': 6.651666099381208, 'AHNAK': 6.566836344308396, 'PIK3R1': 6.336122566829215, 'KRT7': 6.316875787063179, 'CSRP1': 6.222778673025291, 'ANXA1': 6.20496300249876, 'MCL1': 6.173801889527883, 'DUSP1': 6.129302909224329, 'KRT5': 6.006528532114406, 'MT-ND2': 5.987905876593789, 'MT-CO2': 5.938656699730348, 'CIRBP': 5.823047690141946, 'ACTB': 5.7871416465928744, 'ZFP36L1': 5.6740495153244135, 'TC2N': 5.599569555597901, 'TXNIP': 5.266830299773939, 'SFRP1': 5.100646868903396, 'OAZ1': 5.011385235886809, 'KRT17': 4.955930666306347, 'MT-ATP6': 4.90089608739087, 'PIGR': 4.883053229924164, 'RGS2': 4.763059538812661, 'ARRDC3': 4.748453420185784, 'CCN1': 4.734757290844181, 'NFKBIZ': 4.692520741337832, 'MYLK': 4.60947836132146, 'SAT1': 4.566532775261154, 'CRYAB': 4.4669217432107615}"
4,1.0218928819720625,0.1067458607508535,9.573057931484808,3.6790642256012836e-96,122,3248,"IGKC, FOS, TMSB4X, VIM, MCL1, MT-CYB, COL3A1, JUN, JUNB, DCN","{'IGKC': 93.86880029985772, 'FOS': 14.24978842869392, 'TMSB4X': 12.488009392429717, 'VIM': 10.831614208154834, 'MCL1': 9.08421653798256, 'MT-CYB': 8.611038902304902, 'COL3A1': 8.591040620863948, 'JUN': 7.533683361200396, 'JUNB': 7.491110916392843, 'DCN': 7.309181737503631, 'COL1A2': 6.028234409662976, 'CDC73': 5.844141231463889, 'MT-CO3': 5.359386189709539, 'TPM1': 5.32400996750651, 'CLU': 5.163566821733088, 'JCHAIN': 5.097288466820389, 'CDK5RAP3': 5.082505027351451, 'LMNA': 5.070810931604721, 'IGHA1': 4.578077788815986, 'S100A6': 4.446732295510497, 'ZFP36L2': 4.398412594705298, 'KRT17': 4.383761937310682, 'CST3': 4.238478707192107, 'AHNAK': 4.123917655100132, 'MT-ATP6': 4.111886766335869, 'TMSB10': 4.095221566677423, 'SAT1': 3.9903934147827953, 'KRT7': 3.7080308355665363, 'NEDD4L': 3.640166480534058, 'IGFBP7': 3.604302159420063, 'PTN': 3.5921952550045835, 'COL6A1': 3.522258396977516, 'CCNL2': 3.515926549479658, 'MT-ND4L': 3.3639603275993726, 'KRT15': 3.3400469786805917, 'PNRC1': 3.3120903166284927, 'IER2': 3.297977207062205, 'OGA': 3.293024074643193, 'ACADVL': 3.292620096272451, 'TGFBR2': 3.284368949896427, 'KLF2': 3.261674088321244, 'C3': 3.245431846678713, 'CNN1': 3.1711655069283458, 'ZFP36L1': 3.167681571656183, 'MT-ND2': 3.1414881163244592, 'CCN1': 3.05204067219618, 'ANPEP': 3.028003864961936, 'APOD': 3.005364624515225, 'MT-ND6': 2.9735875569724657, 'TNXB': 2.9701473589901517}"
0,0.5787845263717452,0.1041223328138875,5.558653480735966,1.0041140651411436e-85,122,3248,"MT-ND4, HNRNPA2B1, EGR1, MT-CO3, MT-CO2, JUND, LGALS1, TRIM8, C12orf57, BTG1","{'MT-ND4': 68.81004433640203, 'HNRNPA2B1': 18.807936776372888, 'EGR1': 17.83797800586481, 'MT-CO3': 14.604512376903289, 'MT-CO2': 11.523456535296342, 'JUND': 10.956234925915616, 'LGALS1': 10.044828128718406, 'TRIM8': 9.578452086930179, 'C12orf57': 9.559784265220696, 'BTG1': 9.383319386513856, 'IKBKB': 9.159768502621036, 'MT-ND3': 9.148188801771814, 'PJA2': 9.087564912328277, 'ANKHD1': 8.958074365242927, 'AAMP': 8.859824203972947, 'SCD': 8.241436788783131, 'TGFBR2': 3.255772899283331, 'MT-CYB': 3.1970557865382814, 'CFL1': 2.6533243569222806, 'LGALS3': 2.5257777324076525, 'VIM': 2.3366931895265077, 'ASPH': 2.1736627606290937, 'TNFSF10': 2.167659692776655, 'RAB11B': 2.044095483389157, 'JUN': 1.9960682450966398, 'SELENOW': 1.986051571628672, 'TOMM7': 1.9714483474202926, 'CCN2': 1.9611416677337554, 'SLC25A16': 1.9224977956302902, 'ZFP36L1': 1.8066290166400558, 'USP34': 1.7791879561611983, 'IGFBP4': 1.773433039927006, 'VAMP8': 1.7620371761421667, 'MIF': 1.7554546732406238, 'IRX3': 1.7516632834633186, 'ANXA5': 1.7282579170288899, 'CDKN1A': 1.6980950588413262, 'H1F0': 1.6309004471901265, 'ZFP36L2': 1.5956990134989644, 'C1S': 1.594207563211954, 'TNXB': 1.511993621255654, 'PPIA': 1.5068918026791418, 'CCDC88A': 1.503389883260513, 'SFRP2': 1.4738469461861041, 'MT-ND2': 1.4696268225206817, 'OS9': 1.4430414238933833, 'GOLM1': 1.4233835364352387, 'PRRC2C': 1.4166875247558166, 'PCCA': 1.4003824898849841, 'JMJD1C': 1.3952882298711817}"
1,0.9869834546035635,0.18572804819183888,5.314109258688015,1.9277183360790847e-81,122,3248,"COL3A1, COL1A1, COL1A2, VIM, FOS, MT-ATP6, SPARC, EGR1, MT-CO3, TMSB4X","{'COL3A1': 89.29616197626534, 'COL1A1': 79.21425013503806, 'COL1A2': 39.61469841736692, 'VIM': 24.50373579865341, 'FOS': 22.389693259621982, 'MT-ATP6': 18.34606414799274, 'SPARC': 17.474860702417654, 'EGR1': 16.716617225428433, 'MT-CO3': 14.689460187250004, 'TMSB4X': 14.398888248719734, 'DUSP1': 12.318668538730739, 'DCN': 11.203282489696262, 'MT-CYB': 9.922049601588496, 'BTG2': 9.861777369843583, 'JUN': 9.784410929204688, 'MCL1': 9.451712908467716, 'SFRP2': 8.893737874038024, 'C1R': 8.324506753856818, 'LMNA': 8.136671601020069, 'COL6A1': 8.07421754997229, 'COL6A2': 7.8544687977966, 'NR4A1': 7.716257054260544, 'ZFP36': 7.46894756160761, 'MT-CO2': 7.467593049466509, 'MT-ND2': 6.96631763867655, 'COL6A3': 6.830488404738028, 'MT-ND6': 6.668116100834809, 'CCN2': 6.612978280059977, 'CCN1': 6.535288972548588, 'MMP2': 6.392450475712956, 'ACTB': 6.011991677306844, 'SAT1': 5.853295813648018, 'MT-ND4L': 5.8293098853426155, 'AHNAK': 5.601944246742244, 'C3': 5.412089872603336, 'FTH1': 5.215744899455722, 'JUND': 4.9182182654656295, 'RHOB': 4.551905037264988, 'IER2': 4.5326552024773505, 'TFF3': 4.515528731852322, 'FN1': 4.46066264429629, 'C1S': 4.429008180979114, 'MT-ND5': 4.408757737595264, 'ANXA2': 4.029653319807291, 'IGFBP4': 4.001216513728738, 'B4GALT1': 3.9974564738621705, 'HBS1L': 3.9455065687344852, 'SERPINE1': 3.8834778075261562, 'TPM1': 3.88195228650488, 'MT-ND3': 3.8810675314922474}"
2,0.7844877794262257,0.28950265850055373,2.709771556910136,1.2529075404050103e-62,122,3248,"MUC1, XBP1, AZGP1, TFF3, MT-CO3, FOS, ANKRD30A, TPM1, MCL1, BTG2","{'MUC1': 106.1536555948265, 'XBP1': 53.31495062754952, 'AZGP1': 28.40867798448921, 'TFF3': 24.33155899633938, 'MT-CO3': 22.391650707783214, 'FOS': 21.54322599456539, 'ANKRD30A': 21.106771937673255, 'TPM1': 20.315065673718454, 'MCL1': 19.699447256096516, 'BTG2': 18.234179193423014, 'MLPH': 16.91204083538513, 'CRIP1': 16.72650457916098, 'WFDC2': 16.568973543370074, 'B4GALT1': 16.47764008013202, 'OAZ1': 16.314248137448356, 'CLU': 15.053127996120379, 'TRPS1': 14.839275953328048, 'EVL': 13.83584588324099, 'JUN': 13.458306469816627, 'RHOB': 13.101535053316262, 'TACSTD2': 12.994966025158178, 'CRABP2': 12.752661760056606, 'MDM4': 12.379718192140764, 'WDR26': 11.923933159848119, 'AGR2': 11.693667609361025, 'TMSB4X': 11.187319992128097, 'SLC9A3R1': 10.912027894603481, 'CIRBP': 10.892927321513648, 'CD46': 10.77496615589264, 'BAG1': 10.674821970226244, 'SKIL': 10.461735993614193, 'TFF1': 10.458275630252489, 'MYL6': 10.29224715978714, 'FTH1': 10.007760101666346, 'TOB1': 9.756948554238372, 'CA12': 9.72890128640718, 'MDK': 9.675332565181742, 'SLC39A6': 9.394494323651925, 'CCNL2': 9.242083657158613, 'MT-ATP6': 9.195433286214149, 'MT-ND4L': 9.162388500859226, 'SAT1': 9.080805027575352, 'LMNA': 8.998352185245727, 'IER2': 8.895213666141581, 'H3F3A': 8.862800592318955, 'CYP4X1': 8.724185358560563, 'GATA3': 8.691210889744571, 'ENAH': 8.420912736896359, 'SELENOW': 8.403095092603861, 'EGR1': 8.393823217068519}"
