Program,D538G+ Activity,D538G- Activity,Specificity,P-value,Enriched In
0,0.5787845263717452,0.1041223328138875,0.6950613940587637,1.0041140651411436e-85,True
1,0.9869834546035635,0.18572804819183888,0.6832502320491999,1.9277183360790847e-81,True
2,0.7844877794262257,0.28950265850055373,0.4608841042208778,1.2529075404050103e-62,True
3,2.054651926142946,0.0941764718172038,0.912346214424005,1.2598821326393854e-107,True
4,1.0218928819720625,0.1067458607508535,0.8108414026381515,3.6790642256012836e-96,True
