"","Replicate","Average RMSE","Median RMSE","Average NRMSE","Median NRMSE","Average MAE","Median MAE","Method"
"1","0",0.420184469690782,0.431015703462013,0.0513683215156977,0.0523397092556255,0.126037367581408,0.127840559696694,"CITEgeist"
"2","1",0.404780482719304,0.407932923362674,0.0489492468914468,0.0482904380238511,0.122671041260356,0.122012514227628,"CITEgeist"
"3","2",0.429527151044212,0.412165738724414,0.0507825217770473,0.0495846935894936,0.132842419194651,0.123587397699586,"CITEgeist"
"4","3",0.391156009807449,0.393020746751676,0.0478268809454082,0.0485201127565565,0.116904066830068,0.117855209840773,"CITEgeist"
"5","4",0.432904340668915,0.418333217084723,0.0508855022986973,0.0510127447883606,0.132673283179944,0.128709869141899,"CITEgeist"
"6","0",1.31796290882568,1.32051617712611,0.161161597296561,0.158018656258323,0.206962911323133,0.170701042673273,"Cell2Location"
"7","1",1.31268734231054,1.29309387293222,0.158557251132603,0.157359054056052,0.212421952044427,0.176642142968512,"Cell2Location"
"8","2",1.29462282890688,1.29645026510883,0.152948213341394,0.154860196302591,0.222546445100028,0.181984921386042,"Cell2Location"
"9","3",1.30254219950244,1.31314870412514,0.15835757874747,0.159947904924718,0.208004570074548,0.163365179975649,"Cell2Location"
"10","4",1.27272332064202,1.25992026855353,0.14957282142618,0.155869187215556,0.218533037905902,0.156374571731937,"Cell2Location"
