"","JSD","RMSE_Value","Sum_RMSE","CellType","MAE_Value","Sum_MAE","corr","Replicate","Method","Reference","Pattern"
"1",0.161089383380854,0.0573765945862929,0.085891274864372,"'B-cells'",0.0193189566017943,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"2",0.161089383380854,0.0573765945862929,0.085891274864372,"'CAFs'",0.0248876570331306,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"3",0.161089383380854,0.0573765945862929,0.085891274864372,"'Cancer Epithelial'",0.0629704727191415,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"4",0.161089383380854,0.0573765945862929,0.085891274864372,"'Endothelial'",0.0339856422028564,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"5",0.161089383380854,0.0573765945862929,0.085891274864372,"'Myeloid'",0.0384086474893399,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"6",0.161089383380854,0.0573765945862929,0.085891274864372,"'Normal Epithelial'",0.0225558323986034,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"7",0.161089383380854,0.0573765945862929,0.085891274864372,"'PVL'",0.0664024745630851,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"8",0.161089383380854,0.0573765945862929,0.085891274864372,"'Plasmablasts'",0.00886274504805185,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"9",0.161089383380854,0.0573765945862929,0.085891274864372,"'T-cells'",0.0308595001014118,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"10",0.161089383380854,0.0646794898562706,0.085891274864372,"'B-cells'",0.0193189566017943,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"11",0.161089383380854,0.0646794898562706,0.085891274864372,"'CAFs'",0.0248876570331306,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"12",0.161089383380854,0.0646794898562706,0.085891274864372,"'Cancer Epithelial'",0.0629704727191415,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"13",0.161089383380854,0.0646794898562706,0.085891274864372,"'Endothelial'",0.0339856422028564,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"14",0.161089383380854,0.0646794898562706,0.085891274864372,"'Myeloid'",0.0384086474893399,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"15",0.161089383380854,0.0646794898562706,0.085891274864372,"'Normal Epithelial'",0.0225558323986034,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"16",0.161089383380854,0.0646794898562706,0.085891274864372,"'PVL'",0.0664024745630851,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"17",0.161089383380854,0.0646794898562706,0.085891274864372,"'Plasmablasts'",0.00886274504805185,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"18",0.161089383380854,0.0646794898562706,0.085891274864372,"'T-cells'",0.0308595001014118,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"19",0.161089383380854,0.119702447344506,0.085891274864372,"'B-cells'",0.0193189566017943,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"20",0.161089383380854,0.119702447344506,0.085891274864372,"'CAFs'",0.0248876570331306,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"21",0.161089383380854,0.119702447344506,0.085891274864372,"'Cancer Epithelial'",0.0629704727191415,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"22",0.161089383380854,0.119702447344506,0.085891274864372,"'Endothelial'",0.0339856422028564,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"23",0.161089383380854,0.119702447344506,0.085891274864372,"'Myeloid'",0.0384086474893399,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"24",0.161089383380854,0.119702447344506,0.085891274864372,"'Normal Epithelial'",0.0225558323986034,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"25",0.161089383380854,0.119702447344506,0.085891274864372,"'PVL'",0.0664024745630851,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"26",0.161089383380854,0.119702447344506,0.085891274864372,"'Plasmablasts'",0.00886274504805185,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"27",0.161089383380854,0.119702447344506,0.085891274864372,"'T-cells'",0.0308595001014118,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"28",0.161089383380854,0.0837543701955493,0.085891274864372,"'B-cells'",0.0193189566017943,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"29",0.161089383380854,0.0837543701955493,0.085891274864372,"'CAFs'",0.0248876570331306,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"30",0.161089383380854,0.0837543701955493,0.085891274864372,"'Cancer Epithelial'",0.0629704727191415,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"31",0.161089383380854,0.0837543701955493,0.085891274864372,"'Endothelial'",0.0339856422028564,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"32",0.161089383380854,0.0837543701955493,0.085891274864372,"'Myeloid'",0.0384086474893399,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
"33",0.161089383380854,0.0837543701955493,0.085891274864372,"'Normal Epithelial'",0.0225558323986034,0.0342502142397128,0.949543794911543,0,"CITEgeist","Full","High Seg"
