JSD,RMSE_Value,Sum_RMSE,CellType,MAE_Value,Sum_MAE,corr,Replicate,Method
0.27731317171172243,0.0574087424002045,0.08479405362032219,'B-cells',0.028182640250874427,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'CAFs',0.09082639516266543,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'Cancer Epithelial',0.12297910794746351,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'Endothelial',0.023851880232630858,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'Myeloid',0.04536099007553691,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'Normal Epithelial',0.01975397314702898,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'PVL',0.019580068451594174,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'Plasmablasts',0.017719204382729985,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.0574087424002045,0.08479405362032219,'T-cells',0.04419945276638317,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'B-cells',0.028182640250874427,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'CAFs',0.09082639516266543,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'Cancer Epithelial',0.12297910794746351,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'Endothelial',0.023851880232630858,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'Myeloid',0.04536099007553691,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'Normal Epithelial',0.01975397314702898,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'PVL',0.019580068451594174,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'Plasmablasts',0.017719204382729985,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.12549078674288852,0.08479405362032219,'T-cells',0.04419945276638317,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'B-cells',0.028182640250874427,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'CAFs',0.09082639516266543,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'Cancer Epithelial',0.12297910794746351,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'Endothelial',0.023851880232630858,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'Myeloid',0.04536099007553691,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'Normal Epithelial',0.01975397314702898,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'PVL',0.019580068451594174,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'Plasmablasts',0.017719204382729985,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.16534104820321324,0.08479405362032219,'T-cells',0.04419945276638317,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'B-cells',0.028182640250874427,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'CAFs',0.09082639516266543,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'Cancer Epithelial',0.12297910794746351,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'Endothelial',0.023851880232630858,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'Myeloid',0.04536099007553691,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'Normal Epithelial',0.01975397314702898,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'PVL',0.019580068451594174,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'Plasmablasts',0.017719204382729985,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.044684837243597536,0.08479405362032219,'T-cells',0.04419945276638317,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.07763697468141789,0.08479405362032219,'B-cells',0.028182640250874427,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.07763697468141789,0.08479405362032219,'CAFs',0.09082639516266543,0.04582819026854527,0.9104084883107704,0,CITEgeist
0.27731317171172243,0.07763697468141789,0.08479405362032219,'Cancer Epithelial',0.12297910794746351,0.04582819026854527,0.9104084883107704,0,CITEgeist
