method,mean_pearson_r,std_pearson_r,mean_rmse,mean_mae,n_cell_types,n_evaluations
CITEgeist,0.11443324600582679,0.09656811570263797,35.63491772208941,2.9925541736943893,8,33
Cell2Location,0.358337788876838,0.20027702448708906,9.474525190945396,1.2847796368837647,10,50
Tangram,0.02730538783990345,0.09786158244896984,4.461301980136798,0.6556072476352548,10,50
