pearson_r,rmse,mae,n_genes,n_spots,cell_type,region_id
0.6293023197908927,3.031097421033976,0.1900525277387029,180,1407,B cells,0
0.5917424533698695,2.2906655150029316,0.435228078370551,180,1407,CD8+ T cells,0
0.5783846837739111,3.874826753404195,0.5462724933883878,180,1407,Endothelial,0
0.15295683369712643,19.44239941406912,2.0081759406484894,180,1407,Epithelial,0
0.22050279455899985,5.040660159569642,1.0291731468175025,180,1407,Macrophages,0
0.32670923023737203,7.792652602378885,1.4892351310629461,180,1407,Mixed Immune,0
0.7719218391002163,4.604720728702944,0.5948382621060466,180,1407,Myofibroblasts,0
0.09178283547607911,1.2489190495657736,0.24505487692670558,180,1407,Proliferating T,0
0.3109657799488275,23.297412893674245,2.1900855408268396,180,1407,Stromal,0
0.2042024408419439,8.354243591837884,0.8566317309416916,180,1407,Vascular Stromal,0
0.11716783914054298,0.43351097792979604,0.05282538431352052,180,1417,B cells,1
0.5342065544550021,2.216022297419725,0.4229982097408265,180,1417,CD8+ T cells,1
0.563072507235126,4.585656444672122,0.6344596133307041,180,1417,Endothelial,1
0.163848287626071,22.133734912676005,2.513136481059346,180,1417,Epithelial,1
0.19863845738414906,6.842877600964415,1.3287155106166786,180,1417,Macrophages,1
0.37745351642342606,9.507531564178967,1.8927819503862426,180,1417,Mixed Immune,1
0.806391110461878,4.114567145068333,0.6598936222846203,180,1417,Myofibroblasts,1
0.018938504225973887,1.1201364835820442,0.23299835744204847,180,1417,Proliferating T,1
0.2812508994380348,27.021995054369913,2.631008428237982,180,1417,Stromal,1
0.1779353738531284,8.71739205490945,0.948868972551096,180,1417,Vascular Stromal,1
0.21084384132779074,1.171512622127665,0.1494406228678924,180,1352,B cells,2
0.6437083407114954,4.1421961253955795,0.8235126486823603,180,1352,CD8+ T cells,2
0.5512731479647249,2.9865664045569327,0.4293118003720311,180,1352,Endothelial,2
0.32446328164624244,24.549274874144093,2.313153760304583,180,1352,Epithelial,2
0.21150416822821713,11.330047156243442,2.229020924896468,180,1352,Macrophages,2
0.3319084043569117,12.799535979175513,2.3117648701113427,180,1352,Mixed Immune,2
0.6518792038521841,2.1217796032846006,0.28142129861915943,180,1352,Myofibroblasts,2
0.19211687486487086,2.9338090341824055,0.653171466429348,180,1352,Proliferating T,2
0.10906078176779616,27.676443353186844,2.6356035072782866,180,1352,Stromal,2
0.32438506627040287,5.33026039760545,0.6346047304259518,180,1352,Vascular Stromal,2
0.6059810352386725,4.505557444662539,0.3788060486041596,180,1464,B cells,3
0.5807552001755054,5.024807675036226,1.0084344648919912,180,1464,CD8+ T cells,3
0.4645822727873444,2.9599071904886065,0.39278655580646904,180,1464,Endothelial,3
0.29957744258579183,29.781592763732572,3.5116536325936956,180,1464,Epithelial,3
0.27861338744923886,13.264062960956641,2.6657099379362097,180,1464,Macrophages,3
0.33646051672843375,16.089161543177564,2.761728463892576,180,1464,Mixed Immune,3
0.5829308158006166,2.5144254200743386,0.3207227497101038,180,1464,Myofibroblasts,3
0.16109452295752538,4.2137814662245265,0.9368095339317677,180,1464,Proliferating T,3
0.12882359184961298,29.96362470529793,3.457153392000289,180,1464,Stromal,3
0.2410217662940771,5.197605566259263,0.6478928628454992,180,1464,Vascular Stromal,3
0.5770266484505145,4.623226482033353,0.4739557569149942,180,1414,B cells,4
0.6316835181832383,5.215985725690474,1.0807866457265305,180,1414,CD8+ T cells,4
0.45635290697626246,3.0935751029003944,0.3901450725097249,180,1414,Endothelial,4
0.2471707806408103,23.90306112940833,2.9805050820831065,180,1414,Epithelial,4
0.27339211012602777,11.35571327451603,2.3035500402357094,180,1414,Macrophages,4
0.3421504724508954,14.15003086087524,2.4961934034270215,180,1414,Mixed Immune,4
0.48262666570722496,2.3522830483956487,0.3054020390121607,180,1414,Myofibroblasts,4
0.092134126619409,4.51314275060227,0.9672780325414408,180,1414,Proliferating T,4
0.15915033740614976,25.475875167040485,3.168400568899285,180,1414,Stromal,4
0.30684395338533804,4.816391054984472,0.6276276718471459,180,1414,Vascular Stromal,4
