pearson_r,rmse,mae,n_genes,n_spots,cell_type,region_id
0.07797402581443265,3.312601150946799,0.3461409442548998,374,1407,B cells,0
-0.030750814710613077,2.0711064289985113,0.46609732736629167,374,1407,CD8+ T cells,0
0.15278179613372858,3.277730756930408,0.5263173822268287,374,1407,Endothelial,0
-0.12224701028398692,13.750854791577863,1.3574962694315478,374,1407,Epithelial,0
-0.15454678419032652,3.6967073476852774,0.7576324180378036,374,1407,Macrophages,0
0.05133200808872566,3.1293722548148946,0.47476427875616245,374,1407,Mixed Immune,0
0.13483344973561096,4.986975691257871,0.5368389043119713,374,1407,Myofibroblasts,0
0.007611544005175285,0.42724679040880137,0.21120733810272144,374,1407,Proliferating T,0
0.1053891664107985,1.9018511997839047,0.33158522696043224,374,1407,Stromal,0
0.08064663932776492,1.754228407627176,0.2612960781305797,374,1407,Vascular Stromal,0
0.013578240597702348,0.5774899892447097,0.24512138139051207,374,1417,B cells,1
-0.050340084954472245,1.9266813888942642,0.4425736685974722,374,1417,CD8+ T cells,1
0.143241062202676,3.8064650035250973,0.5826368982519184,374,1417,Endothelial,1
-0.13119780903536526,15.660697079702434,1.6570462403013897,374,1417,Epithelial,1
-0.1541267462110021,4.95740642829159,0.9196227680375473,374,1417,Macrophages,1
0.062289949266783044,3.840244261722517,0.6131549343034144,374,1417,Mixed Immune,1
0.15673262327033552,4.828702955851429,0.601407296869089,374,1417,Myofibroblasts,1
-0.0031041687658805075,0.4021790009739869,0.20740657293933346,374,1417,Proliferating T,1
0.09618569573475536,1.8278100567453477,0.3255784646795945,374,1417,Stromal,1
0.07790189756245848,1.836645105121006,0.27064083158070423,374,1417,Vascular Stromal,1
0.05304490930913272,1.0505796587806635,0.27491623206037735,374,1352,B cells,2
-0.03060269989784566,3.8382630140106953,0.8104245791648952,374,1352,CD8+ T cells,2
0.15997177728290554,2.4960541155754807,0.4555322086681157,374,1352,Endothelial,2
-0.09318900663299318,17.915434577900555,1.7764615297111355,374,1352,Epithelial,2
-0.13671495636683736,8.148281804465636,1.431549384176186,374,1352,Macrophages,2
0.07408694185623088,2.198217641520734,0.3965533608367721,374,1352,Mixed Immune,2
0.135399907072225,1.960550599177062,0.3029736624004162,374,1352,Myofibroblasts,2
-0.0004668319936654833,1.5865672728928735,0.33631217625955256,374,1352,Proliferating T,2
0.0848563132831683,2.1114948326276353,0.4095534167206294,374,1352,Stromal,2
0.08931195199404768,1.3177448958727151,0.2549246592995182,374,1352,Vascular Stromal,2
0.08941700684949697,4.901936145347099,0.4521260406215983,374,1464,B cells,3
-0.03908820178554628,4.33083229516409,0.9075460981751212,374,1464,CD8+ T cells,3
0.11885444217647922,2.342831636417773,0.4087893278200054,374,1464,Endothelial,3
-0.12172946134862601,21.713809500232006,2.5328989695458572,374,1464,Epithelial,3
-0.1505839386226652,9.672981131759101,1.7354578826706415,374,1464,Macrophages,3
0.0744921263398591,2.4129611972243894,0.4138931733167582,374,1464,Mixed Immune,3
0.12322005745185528,2.157135430313711,0.31445514752077963,374,1464,Myofibroblasts,3
-0.0093902844803599,2.5723329261228773,0.4506404377124876,374,1464,Proliferating T,3
0.07181263313586964,2.277302209929412,0.37805863799899836,374,1464,Stromal,3
0.07950060418627344,1.5729107111915772,0.26935674322382275,374,1464,Vascular Stromal,3
0.10188808010941743,5.036025502930814,0.5098236995484058,374,1414,B cells,4
-0.03791933352177491,4.671010695664893,0.9842727247796607,374,1414,CD8+ T cells,4
0.12844063298691402,2.437254641161709,0.4069892315047457,374,1414,Endothelial,4
-0.11989478873881515,17.32665140947225,2.0321729445923116,374,1414,Epithelial,4
-0.15243582549883564,8.329721978326834,1.5437849532941599,374,1414,Macrophages,4
0.07967393183231486,2.6835315564250735,0.4687923041743609,374,1414,Mixed Immune,4
0.12523744905628123,1.809793583174878,0.2901307746018554,374,1414,Myofibroblasts,4
-0.010543860463849449,2.645033836072511,0.4653597825721159,374,1414,Proliferating T,4
0.07387656262795701,1.9140803557752395,0.34112894700367186,374,1414,Stromal,4
0.09055857379725775,1.6607777612056953,0.2909181272575698,374,1414,Vascular Stromal,4
