pearson_r,rmse,mae,n_genes,n_spots,cell_type,region_id
0.05104349225097882,49.144707765255845,3.6990220686801076,395,1407,B cells,0
0.12385368503561789,42.32211146030336,2.9620307144206635,395,1407,CD8+ T cells,0
0.10201224077439676,23.646181393742445,1.6583538006171674,395,1407,Epithelial,0
0.21758137513566522,69.81831588231911,5.613449929376625,395,1407,Macrophages,0
0.02411348131302708,6.357971203789678,0.4631058091099655,395,1407,Mixed Immune,0
0.1901267720015579,51.665805271971045,3.311027142767177,395,1407,Myofibroblasts,0
0.0043800400318652144,50.699182475873286,2.811270950851529,395,1407,Proliferating T,0
0.0031579861080075727,21.198794651815582,0.7905120763901891,392,1417,B cells,1
0.05202639842974664,24.452530340321825,0.8597190817046649,392,1417,CD8+ T cells,1
0.20494818530823639,58.34274020694592,4.7229685452162515,392,1417,Macrophages,1
0.011669365795138605,60.82117550077568,4.542712038944018,392,1417,Proliferating T,1
0.008889038781384242,13.835128523412385,0.5275144193413425,396,1352,B cells,2
0.1515022721086463,45.07407766513233,4.755198060486522,396,1352,CD8+ T cells,2
0.12050019339123681,33.125955886057255,2.583223133703903,396,1352,Endothelial,2
0.24848081448066367,38.79646481757279,4.209777135257904,396,1352,Epithelial,2
0.3134707189087359,57.84514309699252,7.919572948419102,396,1352,Macrophages,2
0.06369314550608217,12.478611340601143,0.5769753750522981,396,1352,Mixed Immune,2
0.05951819892309423,33.43042935047914,2.3171994535519125,400,1464,B cells,3
0.1562435185713177,43.15189992192215,4.45150443989071,400,1464,CD8+ T cells,3
0.07833241209766115,18.80219828953853,0.9963114754098361,400,1464,Endothelial,3
0.19450234057466795,31.730886473919462,3.3710997267759564,400,1464,Epithelial,3
0.31401082682350884,57.29814113441217,6.786345628415301,400,1464,Macrophages,3
0.025869535650337738,5.8841157044156445,0.3750614754098361,400,1464,Mixed Immune,3
0.10049203755186592,45.75517243223195,3.6529832650273226,400,1464,Myofibroblasts,3
0.05855023471494858,30.86095416776365,1.9206984289617486,400,1464,Proliferating T,3
0.045213926344455056,29.104966691562968,2.0284959215577842,399,1414,B cells,4
0.2158711093148212,42.12698014082967,4.754832626119755,399,1414,CD8+ T cells,4
0.010273255547467506,9.144225812746447,0.36609380594343,399,1414,Endothelial,4
0.04752031681740156,18.981562828040957,1.9781880443683466,399,1414,Epithelial,4
0.3393943562221712,56.22529741529246,6.825153406855186,399,1414,Macrophages,4
0.053022446468815605,16.93192987567992,1.0742503358821383,399,1414,Mixed Immune,4
0.11032875159952618,47.85330843558009,4.151366747845569,399,1414,Myofibroblasts,4
0.07570464560923695,29.04531867165317,1.6982697195605705,399,1414,Proliferating T,4
