marker,interest_score,kurtosis,gmm_snr,gmm_signal_fraction,morans_i,morans_i_pvalue,passed_kurtosis,passed_gmm,passed_morans,passed_either
CD4,294240965.9070559,16740.319187529774,33239.642592108255,0.17225942212735054,0.5287897858996747,0.005,True,True,True,True
PanCK,179257141.9348915,5282.854103591106,60996.72576326038,0.12435109177429089,0.5562900955563173,0.005,True,True,True,True
Ki-67,101934437.95551954,4321.964976106952,42154.22446416697,0.07730928021660226,0.559498060960088,0.005,True,True,True,True
CD20,25504224.19408179,455.7838616921564,70733.48816013336,0.024893599886928092,0.7910940137948063,0.005,True,True,True,True
LAG-3,13092322.857478766,238.6571690622815,116934.55135100972,0.2715016316991032,0.46913665617732114,0.005,True,True,True,True
CD3E,6184012.50358031,30.268713568006824,259141.4273394925,0.5865489179989886,0.7883871713938753,0.005,True,True,True,True
CD138,5240777.039919621,74.3586017347,81754.68998202655,0.09798744080660689,0.8620883837356303,0.005,True,True,True,True
CD11c,4411083.542423788,242.69068415115112,26450.702221198957,0.10776332807378936,0.6871554111444449,0.005,True,True,True,True
CD45RA,4254175.428623015,89.27724172817435,60369.68658230793,0.1296571629903086,0.7893247299238968,0.005,True,True,True,True
PD-L1,4102266.519130542,441.0791293503516,14368.16004368655,0.05914482918881939,0.6473008942740623,0.005,True,True,True,True
GranzymeB,3963536.647044154,374.8092950357784,23692.555362653533,0.03201074070789973,0.4463346684094496,0.005,True,True,True,True
Beta-catenin,2831873.520003117,295.2142109876052,17088.285757429763,0.06628079971834555,0.5613556459599714,0.005,True,True,True,True
CD68,2724354.816459709,13.55440065195921,324514.3275253557,0.699235996375205,0.6193690135273535,0.005,True,True,True,True
CD31,2491776.635958048,47.95625209882946,68720.23452372715,0.4360708332756298,0.7561000066117244,0.005,True,True,True,True
alphaSMA,1254580.883769504,47.15055323022863,34026.01868605417,0.6645298395281459,0.7819891672023609,0.005,True,True,True,True
CD163,903903.896983456,20.673869167314457,72033.34399159445,0.4629118765565453,0.606969570305769,0.005,True,True,True,True
VISTA,731392.5926817086,40.643443271055844,32691.712377487944,0.4692540749664038,0.5504557269307446,0.005,True,True,True,True
CD8A,666605.5767460795,7.053597005417361,152189.28256798585,0.4210768495096274,0.6209751619985776,0.005,True,True,True,True
PD-1,583120.1978332774,24.6883903853809,41820.41942820867,0.17215338723033163,0.5647768987802528,0.005,True,True,True,True
CD16,408097.2969575553,7.548490086570551,83057.65194858433,0.6117862365314926,0.65091455046164,0.005,True,True,True,True
CD45RO,240800.8148912817,9.441688205562553,37375.364679752165,0.4022437199805147,0.6823746096303226,0.005,True,True,True,True
E-Cadherin,2533.7471717876288,1261.349996848605,2.6986936835199886,0.11353182727813184,0.7443446546538085,0.005,True,True,True,True
PTEN,71.3356771543525,40.227560199322106,2.286587090899519,0.23941125592764195,0.7755241875208303,0.005,True,True,True,True
HLA-DR,54.11718795372958,13.133623051302173,6.342472374945913,0.4066465452602487,0.6496689187779734,0.005,True,True,True,True
PCNA,48.50859705659438,14.88227608007318,5.681641696961006,0.26276826512643603,0.5736876691988279,0.005,True,True,True,True
Vimentin,26.29398189508797,11.710828379146484,3.1687147852704656,0.23877811367179294,0.7085746204012585,0.005,True,True,True,True
CD45,1.7796114329927752,0.6998221828775235,3.5671221705627914,0.46272476029606685,0.7128850363233216,0.005,False,True,True,True
