marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD45RO,CD45,0.8483858111043512,0.6061675118908874,19244,0.18734788449930878,0.7423064670781727,0.7795972284168446,0.0,1.3576002940994134,1.3596019707187865,0.005,1.3586011324090999
CD68,HLA-DR,0.845559081364022,0.6209526823864535,19619,0.1909986565158979,0.7240432019024033,0.7975755689144376,0.0,1.2559122798890656,1.2515783068626731,0.005,1.2537452933758693
CD68,CD16,0.8272363403363079,0.5175162076964254,17402,0.16941529235382308,0.6245534112243555,0.7683296909897147,0.0,1.28229734259029,1.2689687888217542,0.005,1.275633065706022
PTEN,Vimentin,0.8205298659596842,0.3713581833761782,13868,0.13501041686948734,0.5242829149065901,0.6131941118614931,0.0,1.4174769133466425,1.405727183923975,0.005,1.411602048635309
CD8A,PD-1,0.8136145368904157,0.5996082923764827,16226,0.15796647130979966,0.7277061422676993,0.6521048425076177,0.0,1.3539628625307076,1.3616462943626715,0.005,1.3578045784466894
CD8A,CD45RO,0.8033173829895559,0.5690711492872756,18484,0.1799489865456882,0.644292732984216,0.6662684839285462,0.0,1.3152031171985574,1.316289338531309,0.005,1.3157462278649332
CD8A,CD45,0.8004634747297573,0.46987606151021344,16378,0.15944625090052375,0.6444069658061128,0.6123471905434031,0.0,1.3092570568037587,1.312502389759826,0.005,1.3108797232817924
CD68,CD163,0.800186374160295,0.562049810767916,18415,0.1792772444946358,0.6104068034463842,0.7700362913724476,0.0,1.2295014616584297,1.2160006843597904,0.005,1.22275107300911
CD16,HLA-DR,0.794782139042999,0.45783063640002286,16014,0.15590256819642126,0.5496886656434381,0.6826402945032105,0.0,1.2435327043796442,1.251201874163438,0.005,1.247367289271541
CD163,CD16,0.7925709435971524,0.489491683961299,16746,0.1630288751728032,0.5760590236481217,0.7187088842229723,0.0,1.251227740635929,1.2529050320402768,0.005,1.252066386338103
CD20,CD45RA,0.7820218701935967,0.1746207917129116,2360,0.022975525224400786,0.6260114297591234,0.4035444291754901,0.0,4.423125561936313,4.429761456805557,0.005,4.426443509370936
CD163,HLA-DR,0.771076608646147,0.48051760074108385,16599,0.1615977725423003,0.512748300033054,0.6678245408995825,0.0,1.2231989184414729,1.2302467928292122,0.005,1.2267228556353427
PD-1,CD45RO,0.7682733231618596,0.5477329114379202,15233,0.1482992270098717,0.5907215188283838,0.6389407226107771,0.0,1.2960231586286677,1.2918697766063172,0.005,1.2939464676174923
