,pearson_r,p_value
B cells,0.949563905813675,0.0
T cells,0.8470002587723156,0.0
Macrophages,0.7015503386298314,0.0
Endothelial,0.8133521827149429,0.0
Epithelial,0.6238261277973247,0.0
Fibroblasts,0.6109872357186321,0.0
