,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
appidoaa-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2291677872212855,True
applkedc-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.2077136435242936,False
appllgcj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3034050286149315,True
appnegop-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.2227391828686082,False
apppkobb-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baaaddok-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1990062403065904,True
baabgddd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baaciaca-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fibroblasts,0.1878478966095697,False
baacleai-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2769363548246223,True
baadnbgl-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fibroblasts,0.2258726072870917,True
baafkjkn-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3814516964994414,False
baagpeje-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.4664084676160907,True
baahfadj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2394130301635191,True
baaiheff-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baajjfon-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2449952180160026,True
baakgkoc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baakhcmk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3095014593944505,True
baakkdln-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2709263134367149,True
baamhhli-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3440022416488789,True
baamoagc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baapgddj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1669515425176468,True
babaipom-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
babbglbf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2653707107371025,True
babcjfcp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1383215200095002,True
babebkmo-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3671483726714115,True
babglkbf-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fibroblasts,0.6247743504738175,True
babgnpag-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.4264619315421127,True
babhmncn-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4271566778431876,False
babiphhk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3658922588128726,True
bablcbnp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3533778419253314,True
babmaocd-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.290850716227406,True
babmifjf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2164743025296394,False
babnbpjg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2760338996025768,True
babnkkie-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.3106542157392368,True
babpilef-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2562249117381557,True
babpjfdi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2766488253717168,True
bacafcfp-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3863307479347336,True
bacanoea-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3028322252858604,True
bacbnpjc-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.449130484571389,True
bacdimbj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2021915812472624,True
bacdndcf-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.2041828715795081,False
bacfbdjb-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bacfbhma-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3270569380737166,True
bacghdoj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3371024958124081,True
bachflpm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3258494485345898,True
bachillo-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4201099729695244,False
backpklm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4457252990964728,True
bacmcagl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2200327236142049,True
bacmlocf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4697513430687277,True
bacmneef-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4146770682724699,True
bacnbakd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3030136364464887,True
