,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
bamfhnod-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5845030223586667,True
bamhpnel-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3139609210108545,True
bamikojl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4533458708603591,True
bamjedhc-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2632223535310928,True
bamkeeim-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2279472747043857,True
bamklbij-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3943574852967354,True
bammfhmd-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.6861136120390805,True
bamngccd-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2357608766066352,False
bamoabmm-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.5681798623672656,True
bamoonde-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2542746666040061,False
banbobge-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2054643764458555,False
banbpkep-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.227357420746863,False
bancgmfl-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2867047952475374,False
bancpjmb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2935457552105461,True
banddgij-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3708695670747767,True
bandhnek-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2193078515164749,False
banihapo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3116713770279514,True
banjjjnd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3395116517198547,True
bankjcfe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3002768689035358,True
banlaohc-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5344445583504663,False
banlbjmf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
