cell_type,gene,score,pval_adj
PVL,PPP1R14A,64.05046844482422,0.0
PVL,MCAM,64.0301742553711,0.0
PVL,SPARC,63.62936019897461,0.0
PVL,CPE,63.29365921020508,0.0
PVL,IFITM3,63.13264465332031,0.0
PVL,MT2A,62.543556213378906,0.0
PVL,SERPING1,62.503360748291016,0.0
PVL,FRZB,61.725608825683594,0.0
PVL,TIMP3,61.573081970214844,0.0
PVL,MYLK,61.527767181396484,0.0
PVL,PRKCDBP,61.263980865478516,0.0
PVL,PDGFRB,61.1236457824707,0.0
PVL,DSTN,61.09562301635742,0.0
PVL,S100A4,60.99795150756836,0.0
PVL,PTRF,60.30072021484375,0.0
PVL,GJA4,59.99491882324219,0.0
PVL,CSRP2,59.73796081542969,0.0
PVL,MYL6,59.64821243286133,0.0
PVL,MT1E,59.54241943359375,0.0
PVL,COL18A1,59.3061637878418,0.0
PVL,RGS5,59.01360321044922,0.0
PVL,MGST3,58.3879508972168,0.0
PVL,IGFBP5,57.13682174682617,0.0
PVL,GSN,56.251197814941406,0.0
PVL,MT1M,55.78057098388672,0.0
PVL,SEPT4,55.5438232421875,0.0
PVL,CRYAB,55.28086471557617,0.0
PVL,A2M,54.966758728027344,0.0
Plasmablasts,SSR4,39.834434509277344,0.0
Plasmablasts,MZB1,39.317039489746094,0.0
Plasmablasts,IGHG1,34.55021667480469,6.535917253539164e-258
Plasmablasts,IGHG3,34.469512939453125,9.097713501246275e-257
Plasmablasts,IGKC,32.57307434082031,1.5200229785733633e-229
Plasmablasts,IGHG4,29.140913009643555,6.562532453443966e-184
Plasmablasts,DERL3,28.143081665039062,1.552402293485396e-171
Plasmablasts,FKBP11,28.13340187072754,2.0006424769076439e-171
Plasmablasts,JCHAIN,25.76002311706543,9.078046838425569e-144
Plasmablasts,ITM2C,25.060888290405273,4.545921634272845e-136
Plasmablasts,SEC11C,24.127479553222656,3.836297985795687e-126
Plasmablasts,CD79A,23.965967178344727,1.79999442956477e-124
Plasmablasts,IGHGP,23.68320083618164,1.5194951162394255e-121
Plasmablasts,HERPUD1,23.153902053833008,3.440138225883482e-116
Plasmablasts,IGLC2,21.525266647338867,1.8819629064698958e-100
Plasmablasts,IGHG2,20.733997344970703,3.2686297937124985e-93
Plasmablasts,TNFRSF17,20.697290420532227,6.9563378857707254e-93
Plasmablasts,ISG20,18.585906982421875,6.064356841111351e-75
Plasmablasts,CD38,18.295162200927734,1.240927825993249e-72
Plasmablasts,FKBP2,18.078168869018555,6.310719410980501e-71
Plasmablasts,PRDX4,17.609943389892578,2.591943787229023e-67
Plasmablasts,PIM2,17.553056716918945,7.033953460403448e-67
Plasmablasts,FCRL5,16.717796325683594,1.0529942311393965e-60
Plasmablasts,IGLC3,16.663572311401367,2.5911806102082666e-60
Plasmablasts,JSRP1,16.460918426513672,7.216187454594224e-59
Plasmablasts,SPCS3,15.676359176635742,2.014494603987339e-53
Plasmablasts,SPCS2,15.236281394958496,1.742996321331105e-50
Plasmablasts,IGLL5,14.955674171447754,1.1799287615082761e-48
Plasmablasts,CD27,14.904091835021973,2.5125373150589654e-48
Plasmablasts,POU2AF1,14.70317268371582,4.762498210311502e-47
Plasmablasts,SLAMF7,14.506014823913574,8.29207955573519e-46
Plasmablasts,CYBA,14.472061157226562,1.3556744642348495e-45
Plasmablasts,SDF2L1,14.07955551147461,3.5688623780602195e-43
Plasmablasts,XBP1,13.779236793518066,2.325962201671716e-41
Plasmablasts,FAM46C,13.716695785522461,5.387416857867355e-41
Plasmablasts,HSP90B1,13.201848983764648,5.158578069385243e-38
Plasmablasts,SPAG4,13.201471328735352,5.173297092349621e-38
Plasmablasts,IGHA1,13.176870346069336,7.032115494625756e-38
Plasmablasts,SSR3,13.101032257080078,1.911544503919043e-37
Plasmablasts,IGLV3-1,12.509529113769531,3.4307226671280565e-34
Plasmablasts,MEI1,12.386849403381348,1.5746937758461814e-33
Plasmablasts,UBE2J1,12.335092544555664,2.954425716056428e-33
Plasmablasts,KIAA0125,11.97266674041748,2.3176186056757912e-31
Plasmablasts,PRDM1,11.747650146484375,3.26732195420125e-30
Plasmablasts,SDC1,11.433807373046875,1.1956899502604623e-28
Plasmablasts,IGHM,11.351855278015137,3.0038111722316177e-28
Plasmablasts,ZBP1,11.22206974029541,1.2838989579722191e-27
Plasmablasts,EAF2,11.052264213562012,8.286781078730608e-27
Plasmablasts,IGKV1-12,10.852386474609375,7.297243305939017e-26
Plasmablasts,PLPP5,10.688475608825684,4.1273948505014304e-25
T-cells,SRGN,123.19623565673828,0.0
T-cells,RPS27,122.18976593017578,0.0
T-cells,CXCR4,120.19001770019531,0.0
T-cells,B2M,119.88954162597656,0.0
T-cells,TMSB4X,109.54295349121094,0.0
T-cells,PTPRC,102.52668762207031,0.0
T-cells,RPS15A,101.47604370117188,0.0
T-cells,IL7R,101.31912231445312,0.0
T-cells,CD52,97.83491516113281,0.0
T-cells,RPL41,96.80667114257812,0.0
T-cells,BTG1,93.10460662841797,0.0
T-cells,RPL39,88.99372100830078,0.0
T-cells,RPS25,88.82527160644531,0.0
T-cells,RPS29,87.43201446533203,0.0
T-cells,CD3D,87.2661361694336,0.0
T-cells,CD2,86.4573974609375,0.0
T-cells,CD69,86.27770233154297,0.0
T-cells,RGS1,84.86627197265625,0.0
T-cells,CYTIP,84.85798645019531,0.0
T-cells,RPS3,82.87603759765625,0.0
T-cells,TSC22D3,81.65789031982422,0.0
T-cells,RPS12,81.55464935302734,0.0
T-cells,TNFAIP3,80.71468353271484,0.0
T-cells,RPL30,79.52163696289062,0.0
T-cells,CD3E,79.31633758544922,0.0
T-cells,RPS27A,79.04016876220703,0.0
T-cells,RPL34,77.20845794677734,0.0
T-cells,MALAT1,76.23811340332031,0.0
T-cells,CREM,75.87486267089844,0.0
T-cells,HSPA8,75.64017486572266,0.0
T-cells,ARHGDIB,74.90999603271484,0.0
T-cells,S100A4,73.61035919189453,0.0
T-cells,CCL5,73.43833923339844,0.0
T-cells,TRAC,72.33329772949219,0.0
T-cells,RPL10,70.62823486328125,0.0
T-cells,RPL21,67.58671569824219,0.0
T-cells,RPL11,67.00760650634766,0.0
T-cells,IL32,66.73006439208984,0.0
T-cells,STK4,66.69115447998047,0.0
T-cells,BIRC3,65.665771484375,0.0
T-cells,TRBC2,65.17452239990234,0.0
T-cells,FYB,64.75540924072266,0.0
T-cells,DUSP2,63.761863708496094,0.0
T-cells,IL2RG,62.59061050415039,0.0
T-cells,CD53,62.27836227416992,0.0
T-cells,RPL26,61.755130767822266,0.0
T-cells,SAMSN1,60.043853759765625,0.0
T-cells,RPL23A,59.27742385864258,0.0
T-cells,ZFP36L2,58.908809661865234,0.0
T-cells,ELF1,58.48653793334961,0.0
Myeloid,HLA-DRA,68.36416625976562,0.0
Myeloid,CD74,66.76295471191406,0.0
Myeloid,HLA-DPA1,65.85138702392578,0.0
Myeloid,HLA-DRB1,65.41824340820312,0.0
Myeloid,HLA-DPB1,65.06432342529297,0.0
Myeloid,TYROBP,64.3286361694336,0.0
Myeloid,FTL,64.21023559570312,0.0
Myeloid,FCER1G,61.975345611572266,0.0
Myeloid,HLA-DRB5,61.767311096191406,0.0
Myeloid,HLA-DQA1,60.62921142578125,0.0
Myeloid,HLA-DQB1,60.54495620727539,0.0
Myeloid,AIF1,59.21095275878906,0.0
Myeloid,NPC2,56.549564361572266,0.0
Myeloid,HLA-DMA,55.588924407958984,0.0
Myeloid,CD68,54.60993576049805,0.0
Myeloid,LYZ,54.207305908203125,0.0
Myeloid,GPX1,53.90645217895508,0.0
Myeloid,MS4A6A,52.66860580444336,0.0
Myeloid,LAPTM5,51.43378448486328,0.0
Myeloid,SAT1,50.9725227355957,0.0
Myeloid,PSAP,50.316104888916016,0.0
Myeloid,CTSB,49.299468994140625,0.0
Myeloid,CST3,49.07600021362305,0.0
Myeloid,C1QB,47.352840423583984,0.0
Myeloid,CD83,47.26900863647461,0.0
Myeloid,C1QA,46.262203216552734,0.0
Myeloid,SGK1,46.24049758911133,0.0
Myeloid,HLA-DMB,45.29892349243164,0.0
Myeloid,C1QC,44.828697204589844,0.0
Myeloid,PLAUR,44.29115676879883,0.0
Myeloid,CTSS,43.930213928222656,0.0
Myeloid,RGS1,43.22207260131836,0.0
Myeloid,LST1,42.85544204711914,0.0
Myeloid,COTL1,41.915802001953125,0.0
Myeloid,ITGB2,41.155635833740234,0.0
Myeloid,C1orf162,40.90175247192383,0.0
Myeloid,FTH1,40.7567253112793,0.0
Myeloid,MS4A7,40.598453521728516,0.0
Myeloid,GRN,39.88430404663086,0.0
Myeloid,RGS2,39.375797271728516,0.0
Myeloid,TMSB4X,39.3149528503418,0.0
Myeloid,HLA-DQA2,39.24156188964844,0.0
Myeloid,PLEK,39.145694732666016,0.0
