Method,Pearson r,JSD,RMSE,MAE
CITEgeist_achievable_7,0.3479,0.4111,0.1691,0.1191
Cell2Location,0.3081,0.4168,0.2166,0.1380
Seurat,0.2572,0.5113,0.2519,0.1616
Tangram,0.1931,0.4237,0.1818,0.1309
RCTD,0.1921,0.5214,0.2513,0.1671
scResolve,0.1073,0.5599,0.2724,0.1792
