marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
LAG-3,CD3E,0.694794099364238,0.5319053055338581,17705,0.17173813934990736,0.3407922509524387,0.6109010642929084,0.0,1.261161890581076,1.257376395847882,0.005,1.2592691432144791
CD20,CD45RA,0.6902245324549856,0.16232737151913063,717,0.006954885394740671,0.41049056319435434,0.3763685975002634,0.0,10.039173439399395,10.096947313019571,0.005,10.068060376209484
CD3E,CD4,0.6896849840391435,0.1956881220554741,6272,0.060838272239628295,0.30803223294927445,0.2756175670714315,0.0,1.6074877006901893,1.598736960310511,0.005,1.60311233050035
HLA-DR,VISTA,0.6832390112046226,0.3480136569356589,13149,0.12754503215543248,0.3548064698054356,0.459481993704664,0.0,1.124548313211132,1.1131015579659598,0.005,1.1188249355885458
VISTA,CD45,0.6781105489966384,0.24206620447221952,9916,0.09618499801150418,0.27654005094144174,0.4396368537452263,0.0,1.1381905111978283,1.1389764150134931,0.005,1.1385834631056606
CD68,VISTA,0.6776800744014682,0.3617323298604601,13506,0.13100792488335775,0.3409244771991288,0.4693481735199855,0.0,1.1292725497096645,1.117232988536245,0.005,1.1232527691229548
CD4,CD45,0.6750561462534483,0.2235147486497715,6994,0.06784165753251918,0.3022020053186142,0.33832081625930366,0.0,1.5016053474153808,1.503960723569738,0.005,1.5027830354925595
CD31,PTEN,0.6748878066702599,0.27747031595894545,11030,0.10699077531937183,0.3610311541312431,0.22732086336112592,0.0,1.216812388572722,1.2330388281560862,0.005,1.224925608364404
CD163,CD45,0.6685114115353844,0.20996702957850044,8852,0.08586421968513866,0.1686742810873895,0.45648206109225115,0.0,1.2871230704743601,1.282844070904964,0.005,1.2849835706896622
CD3E,E-Cadherin,0.6613332289350966,0.22397939533988062,9305,0.09025831045754804,0.199548844467789,0.2866905875456075,0.0,1.204002865700342,1.19402843701386,0.005,1.199015651357101
CD16,VISTA,0.6581476739643176,0.3333858598592289,12694,0.12313154142376301,0.2664106719216079,0.4424657184347854,0.0,1.1697122123765487,1.1675256749173568,0.005,1.1686189436469527
Beta-catenin,Vimentin,0.6573091333409229,0.2657228135978235,10060,0.09758179507823034,0.24805639940293542,0.3093096061031359,0.0,1.2193509345048936,1.2297884802685306,0.005,1.2245697073867121
Beta-catenin,alphaSMA,0.6570271694439564,0.2696578230929376,10103,0.09799889420232218,0.24682279836284934,0.24770968682171704,0.0,1.3658117660054154,1.3343725510251192,0.005,1.3500921585152672
VISTA,E-Cadherin,0.6560458684159969,0.2441880574153223,9884,0.0958745986633428,0.25611374778026347,0.33732118596301974,0.0,1.1111374751174208,1.1002762764786058,0.005,1.1057068757980133
CD31,alphaSMA,0.6542834924842523,0.2419196384713626,9850,0.09554479935592135,0.1713862482265816,0.24218311494629516,0.0,1.272097867320301,1.2626683893285342,0.005,1.2673831283244175
GranzymeB,CD16,0.6533440648845484,0.006925155054982687,182,0.0017653962926677854,0.47383353995317196,-0.010020249032885781,0.0012937921794851292,0.9762552623965298,0.9555216858286423,0.95,0.965888474112586
CD45RO,E-Cadherin,0.649272249036961,0.22506269325347553,9244,0.08966661170011543,0.20017854686703193,0.24148008863311507,0.0,1.2135640503375902,1.2059631230524994,0.005,1.2097635866950447
CD8A,E-Cadherin,0.642384808735288,0.20279687241631825,8585,0.08327432512391723,0.15148773226978074,0.20156058664109816,0.0,1.1893044798417596,1.1777023370334978,0.005,1.1835034084376286
HLA-DR,E-Cadherin,0.6409402600888512,0.20257713677739686,8568,0.08310942547020651,0.16535497452115858,0.2387822521838768,0.0,1.1031791779720705,1.0849097655738624,0.005,1.0940444717729665
HLA-DR,CD8A,0.6327214066370721,0.16191271381504715,7175,0.06959735384555693,0.05747894451091972,0.32449047578142454,3.571415385323307e-76,1.1495833045429216,1.1481833844091183,0.005,1.1488833444760198
CD45RA,CD3E,0.6315546813838558,0.08657710830285693,2391,0.02319265129543228,0.1632707642174115,0.1658039417830042,0.0,1.9579189571743538,1.969534046476797,0.005,1.9637265018255754
HLA-DR,CD45RO,0.6279584525026964,0.1754325179590234,7595,0.0736713452901749,0.06584456362711441,0.3141135414622012,2.0441686142845128e-99,1.1783587130818889,1.1728376782408074,0.005,1.1755981956613482
CD45RA,CD4,0.6273723141886387,0.08989632300856462,1396,0.013541171563539716,0.1382290287399001,0.13568920648541138,0.0,2.6640547907720418,2.6707595205270596,0.005,2.667407155649551
CD31,Vimentin,0.6206938671275885,0.21387531290976278,8971,0.08701851726111375,0.20136926612850373,0.14490838494295044,0.0,1.0920213823067069,1.125546168296815,0.005,1.1087837753017609
PCNA,Vimentin,0.619637643345901,0.18058319833371905,7803,0.07568894105322378,0.07204513412206749,0.22495544447803137,1.096830349376418e-118,1.1223255011342994,1.0839426662889553,0.005,1.1031340837116272
CD68,E-Cadherin,0.616885737503761,0.18335003612464168,7867,0.07630973974954652,0.11681574202745139,0.19806249508190293,5.59252880314843e-310,1.1046746594084398,1.0855419387455891,0.005,1.0951082990770145
CD4,E-Cadherin,0.6140788542711568,0.16296113814128227,5292,0.05133229220218637,0.2237049432278244,0.17622492936207945,0.0,1.2738330770592399,1.2862428625490632,0.005,1.2800379698041515
