marker,interest_score,kurtosis,gmm_snr,gmm_signal_fraction,morans_i,morans_i_pvalue,passed_kurtosis,passed_gmm,passed_morans,passed_either
GranzymeB,987647716.1842976,43769.2860050297,48079.16647968474,0.008807605075831212,0.46932714283211335,0.005,True,True,True,True
CD163,204111746.3072181,6012.230024181242,59809.35423871285,0.3874592549979807,0.5676273291568426,0.005,True,True,True,True
CD138,111509624.29058242,5071.100931739289,37545.36122590611,0.006343872905690503,0.5856711225321378,0.005,True,True,True,True
PanCK,91881576.76502134,3103.656502935922,60783.143150192336,0.0733906425512163,0.48704785570761533,0.005,True,True,True,True
CD16,78622106.86239664,2068.1330708729333,61277.248037679536,0.446775672613099,0.6203930805589357,0.005,True,True,True,True
CD20,39641518.592655234,1071.310919678638,64799.1718762928,0.008041355941105303,0.5710383764349233,0.005,True,True,True,True
Ki-67,39135506.6061258,3932.0991539024435,20076.142861107328,0.09553658217393239,0.49575399423897365,0.005,True,True,True,True
LAG-3,31993704.099660743,987.1171586997696,68548.20127702005,0.2649082299441068,0.4728242685624283,0.005,True,True,True,True
CD45RA,9356620.252280511,166.3631984940638,73301.39481002624,0.04175874251630485,0.7672722713356444,0.005,True,True,True,True
PD-L1,6190956.582105534,967.3730394197786,11806.152432318999,0.02137977392548032,0.5420700249179294,0.005,True,True,True,True
CD3E,4635941.795484271,35.162655096395675,181423.02959996412,0.5676446422543951,0.7267146226365191,0.005,True,True,True,True
CD11c,4545234.857791753,454.59580591943654,18172.90557342749,0.06821246012595723,0.5501821980387718,0.005,True,True,True,True
CD4,3398261.0333630755,147.84787301424498,33698.06741252532,0.12241586992607137,0.6820821116953505,0.005,True,True,True,True
Beta-catenin,2816747.5667650336,283.21538059983453,18447.553366592758,0.21517197892763693,0.539128533439121,0.005,True,True,True,True
CD68,2213393.302749712,23.924070623718197,165892.65654398332,0.567062756179484,0.557694490281547,0.005,True,True,True,True
HLA-DR,2042493.7159968733,20.439840565492343,160276.1894483178,0.7666019026286773,0.623468069913236,0.005,True,True,True,True
PD-1,1449039.5057578508,49.83620276436973,50550.28917723265,0.20701940768442334,0.5751904112362823,0.005,True,True,True,True
CD31,1275908.1613213555,29.84612982997522,77783.07775350346,0.3572430475736489,0.5495994229621478,0.005,True,True,True,True
CD8A,1116134.0667562496,8.42741533244736,208969.46553149595,0.42165933686361723,0.6337808811420197,0.005,True,True,True,True
VISTA,924806.3442672332,47.8924427654452,39057.782509444565,0.5591051907814708,0.4943974575767858,0.005,True,True,True,True
CD45RO,297735.4109064762,12.372988416811047,34849.141373782695,0.3301445052998179,0.6905001886258305,0.005,True,True,True,True
PCNA,767.1675595349659,217.33641821955575,6.829571105204146,0.19780102246011486,0.5168497297400071,0.005,True,True,True,True
alphaSMA,73.18019972129093,13.572182883143345,7.423207509284032,0.3449880484959081,0.7263606127137457,0.005,True,True,True,True
E-Cadherin,43.27557846898486,26.929832384494656,2.1920463259010505,0.19187261981749465,0.7330937271664851,0.005,True,True,True,True
PTEN,21.997241711219168,11.974100367714218,2.633867398754122,0.23483825831642377,0.697479465568239,0.005,True,True,True,True
Vimentin,17.491907142404333,7.618550644312544,3.201929759811482,0.2530202708525433,0.717055883659015,0.005,True,True,True,True
CD45,5.215460516506211,0.6515844353425333,11.06932859302028,0.6308073509015536,0.7231038613761885,0.005,False,True,True,True
