,pearson_r,pearson_r,jsd,jsd,rmse,rmse,mae,mae,gex_rmse,gex_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
CITEgeist,0.147,0.259,0.6334,0.0891,0.1883,0.0262,0.1177,0.0204,,
Cell2Location,0.2671,0.0784,0.5077,0.0071,0.1847,0.0094,0.111,0.0046,0.5715,0.0493
RCTD,0.1369,0.0287,0.5929,0.0105,0.2114,0.0051,0.1322,0.0033,,
Seurat,0.0925,0.0541,0.6279,0.0179,0.2456,0.0162,0.146,0.0067,,
Tangram,0.0829,0.0827,0.5405,0.0289,0.1774,0.0136,0.1209,0.0092,0.4208,0.0282
