marker,interest_score,kurtosis,gmm_snr,gmm_signal_fraction,morans_i,morans_i_pvalue,passed_kurtosis,passed_gmm,passed_morans,passed_either
LAG-3,257349823.46136773,6814.4354514213155,63313.688394117744,0.20308191284330057,0.5964806754015183,0.005,True,True,True,True
CD138,116344952.22998859,6086.856465225579,31291.79884861205,0.013646895837896552,0.6108350583611422,0.005,True,True,True,True
CD4,73244998.86401436,2289.4881871560956,43202.68463317767,0.14154024174112234,0.7405064311318603,0.005,True,True,True,True
Ki-67,71343130.39435394,3242.509403387094,34516.634189553304,0.05862737232171447,0.637444645308375,0.005,True,True,True,True
PanCK,41807749.970355846,854.1889174825243,87980.39859950978,0.09598753084562392,0.5563100905739842,0.005,True,True,True,True
GranzymeB,9897489.885637507,727.6577852505518,29281.259052563742,0.010373720743352303,0.46452398123420996,0.005,True,True,True,True
CD20,8080995.871829347,38.42028119733683,220688.73617283656,0.09260326438746458,0.9530686367954002,0.005,True,True,True,True
Beta-catenin,7932946.673903457,735.0291838947813,18989.075014768267,0.20299311352096075,0.5683634502172431,0.005,True,True,True,True
CD11c,7644490.793969721,518.2940538651458,23716.515074861803,0.09851227355354537,0.6219012959109329,0.005,True,True,True,True
PD-L1,7266392.990566436,1067.0227444968834,11160.218222098045,0.02056909303669005,0.6102004431019457,0.005,True,True,True,True
CD3E,5975183.582292447,38.473650731093,198631.520104822,0.5811827398110377,0.7818792520383286,0.005,True,True,True,True
CD8A,4150547.571610688,28.361807247532056,201684.27552455265,0.3586246468191083,0.7256036444098872,0.005,True,True,True,True
CD45RA,3641254.756440568,19.770662116511716,194213.86689596865,0.17928251065768464,0.948308439431583,0.005,True,True,True,True
HLA-DR,2947143.4129338665,31.423303132384824,133761.19942207745,0.6375605252901839,0.7011634681679562,0.005,True,True,True,True
CD68,2908326.637586519,27.699182770767095,149505.8857901988,0.43672065310752234,0.702292345088974,0.005,True,True,True,True
PD-1,2535144.7933836635,77.65418761288161,48349.92397304158,0.14821440547025735,0.6752150171926786,0.005,True,True,True,True
CD163,2132930.4364201655,49.73082486835359,62728.4243830892,0.30990410329769585,0.6837331705769087,0.005,True,True,True,True
CD31,2108134.831462338,44.650952166755765,80345.16712732286,0.34248180513647286,0.5876353330163034,0.005,True,True,True,True
VISTA,1263501.0378906091,47.99318323429926,46444.91486725485,0.554917117916472,0.5668365885209629,0.005,True,True,True,True
alphaSMA,1026259.6403606883,33.581843082776444,43102.789258947305,0.43452521357993606,0.7090018146724988,0.005,True,True,True,True
CD16,857083.2868069864,24.891782441551147,47722.40585252447,0.28250072128014064,0.7215138963892116,0.005,True,True,True,True
CD45RO,418896.58994482155,17.422732357962047,32450.941698106417,0.2931829968590788,0.7409062453515568,0.005,True,True,True,True
PCNA,167.25038108981386,39.126255148186274,7.040408988635487,0.21717844016183668,0.6071569135242048,0.005,True,True,True,True
E-Cadherin,116.59264473291208,56.511898441643154,3.0034951279641975,0.16712473398527042,0.6869170953954711,0.005,True,True,True,True
PTEN,36.00233572944643,17.170247450008294,2.944194962461212,0.2387956090802227,0.712176367428604,0.005,True,True,True,True
Vimentin,14.88492289983639,7.00921958594269,3.087027970687049,0.27433338762932263,0.6879175022812517,0.005,True,True,True,True
CD45,10.017684679108143,0.6548064067649815,18.640774440768194,0.6672677254816811,0.8207114381198805,0.005,False,True,True,True
