marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD20,CD45RA,0.9158118101439071,0.4830985260612824,10390,0.08856270989958916,0.866057420861013,0.6931571179912133,0.0,4.680585902705524,4.69735765705718,0.005,4.688971779881352
HLA-DR,CD68,0.8296233849561577,0.5791307636206477,21440,0.1827511549804804,0.6639106194098907,0.7456225975246151,0.0,1.4329498538411325,1.436291002145104,0.005,1.4346204279931183
CD45RO,CD45,0.8295956058003296,0.56500404421677,20956,0.17862561584752554,0.6711966538576107,0.6796978038651297,0.0,1.5746692517287293,1.5674632924464014,0.005,1.5710662720875654
CD8A,PD-1,0.8248529561039333,0.5189811493053291,15913,0.1356398847576672,0.7017421686043257,0.6314322534069269,0.0,1.6946071447822526,1.6936978884932188,0.005,1.6941525166377356
CD68,CD16,0.8052445086276465,0.5631104332236226,21044,0.17937571387169915,0.559324590643554,0.6907601769150483,0.0,1.509430594399963,1.5013349943194512,0.005,1.5053827943597071
CD3E,CD45,0.7953001242641379,0.5223256055723048,20097,0.171303636270649,0.5595835037348755,0.5951598034758904,0.0,1.530356832462596,1.522897637776768,0.005,1.526627235119682
CD3E,CD45RO,0.7912854821220802,0.5705157709489644,21072,0.1796143814248453,0.5359420552155987,0.6413152311794503,0.0,1.5391276510444392,1.5397413457206166,0.005,1.5394344983825279
CD8A,CD45RO,0.785945899966946,0.5249967092273266,19942,0.16998244088716138,0.5438693180325489,0.6330940533774589,0.0,1.5716816208701412,1.574068536866598,0.005,1.5728750788683696
CD8A,CD45,0.7858147127091122,0.44498517786561265,18013,0.15353995124362843,0.5846711510078549,0.6103912220870362,0.0,1.4778780985545892,1.473022733264769,0.005,1.475450415909679
CD3E,CD8A,0.7827428737670362,0.5524806119196856,20802,0.1773129443052217,0.5419087588696537,0.6967489360532363,0.0,1.5724695417146688,1.5715081618432334,0.005,1.571988851778951
CD68,CD163,0.7802967959676533,0.5800330703965737,21398,0.18239315365076117,0.5242383276534625,0.7453064638164252,0.0,1.417794214910411,1.4107407872182243,0.005,1.4142675010643178
LAG-3,PD-1,0.7684405151876337,0.5125701912137116,13966,0.11904396597282599,0.49388680463763457,0.675683376406128,0.0,1.6731404451840606,1.670346276852413,0.005,1.6717433610182368
HLA-DR,CD16,0.763233661783643,0.4862315145334013,19070,0.16254965137489558,0.48722323870154094,0.608371230831936,0.0,1.4282339093227,1.4238511008203782,0.005,1.426042505071539
PTEN,Vimentin,0.7573383361081285,0.2966290136084675,13340,0.11370804139177279,0.3627885288120229,0.47578124483891365,0.0,1.2669231114144153,1.299521086590279,0.005,1.283222099002347
Beta-catenin,CD31,0.7537351632484655,0.34777484563552047,13574,0.1157026202287799,0.593816556842221,0.40294402775850585,0.0,1.3526592720481023,1.3536745250900855,0.005,1.353166898569094
PD-1,CD45RO,0.7492418909505949,0.4719509860233582,14790,0.12606761110826983,0.4964768265438979,0.6131173809382376,0.0,1.532887909001945,1.5344373398238638,0.005,1.5336626244129044
HLA-DR,CD45,0.7419856990389495,0.2428583574222071,11426,0.09739340936599669,0.31674050381630625,0.6045670320820118,0.0,1.3285192090802407,1.3063493154625945,0.005,1.3174342622714175
HLA-DR,CD163,0.7396577775296274,0.4922646689073043,19187,0.16354694079339913,0.4415382259214997,0.6351967534750922,0.0,1.3606906511855872,1.3587209141412586,0.005,1.359705782663423
LAG-3,CD8A,0.7349054574268391,0.48202404249370984,17242,0.14696806969092552,0.4273584110645025,0.569242742999871,0.0,1.4844167887851003,1.4786468874171041,0.005,1.4815318381011022
E-Cadherin,CD45,0.730525481985103,0.29404130585576516,13141,0.11201179699619837,0.36946111742813664,0.4206552128328783,0.0,1.2903559081651899,1.2855657932815558,0.005,1.2879608507233729
CD45RA,CD45,0.7289659593001387,0.30462615005831284,11754,0.10018922927428016,0.3996555528971236,0.3957702766732718,0.0,2.0576939711287943,2.0454113520914214,0.005,2.051552661610108
CD163,CD16,0.7280604183206612,0.49862045847193215,19337,0.16482551697096778,0.40172822568901345,0.634167615720815,0.0,1.3835131741646107,1.384606113634869,0.005,1.38405964389974
